기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Live Nation Entertainment,LYV,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,5087771000,공시,https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/,5077344000,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/,12
Live Nation Entertainment,LYV,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,3462600000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1335258/000119312512075895/,3452173000,https://www.sec.gov/Archives/edgar/data/1335258/000119312513077102/,12
Live Nation Entertainment,LYV,2013Q4,2013-12-31,분기별 영업활동현금흐름,재작성 반영,152934000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1335258/000133525814000027/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525813000032/,166823000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525813000032/,12
Live Nation Entertainment,LYV,2014Q1,2014-03-31,분기별 영업활동현금흐름,재작성 반영,365697000,공시,https://www.sec.gov/Archives/edgar/data/1335258/000133525814000049/,366608000,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000047/,12
Live Nation Entertainment,LYV,2014Q2,2014-06-30,분기별 영업활동현금흐름,재작성 반영,-27227000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1335258/000133525814000106/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525814000049/,-26302000,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000114/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525815000047/,12
Live Nation Entertainment,LYV,2014Q3,2014-09-30,분기별 영업활동현금흐름,재작성 반영,-352302000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1335258/000133525814000123/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525814000106/,-346835000,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000127/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525815000114/,12
Live Nation Entertainment,LYV,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,283241000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525814000123/,298695000,https://www.sec.gov/Archives/edgar/data/1335258/000133525817000031/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525815000127/,12
Live Nation Entertainment,LYV,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,5988361000,공시,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/,5968361000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/,12
Live Nation Entertainment,LYV,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4335659000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1335258/000133525815000026/,4315659000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000167/,12
Live Nation Entertainment,LYV,2015Q1,2015-03-31,분기별 영업활동현금흐름,재작성 반영,342546000,공시,https://www.sec.gov/Archives/edgar/data/1335258/000133525815000047/,347661000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000187/,12
Live Nation Entertainment,LYV,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,14608000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1335258/000133525815000114/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525815000047/,14815000,https://www.sec.gov/Archives/edgar/data/1335258/000133525816000235/ ; https://www.sec.gov/Archives/edgar/data/1335258/000133525816000187/,12
