기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
McDonald's,MCD,2010Q1,2010-03-31,분기별 매출액,5610100000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기별 영업이익,1674100000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기별 당기순이익(지배),1089800000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기별 영업활동현금흐름,1422700000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 자산총계,29825600000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 부채총계,15708800000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,부채및자본 29825600000 − 총자본 14116800000,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 총자본(자기자본),14116800000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,"StockholdersEquity, MinorityInterest 태그 없음",4
McDonald's,MCD,2010Q1,2010-03-31,분기말 지배지분 자본,14116800000,USD,공시,https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 종가,66.72,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MCD?interval=1d&events=splits (2010-03-31),,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 상장주식수,1075797083,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
McDonald's,MCD,2010Q1,2010-03-31,분기말 시가총액,71777181378,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MCD?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/63908/000119312510110148/,종가 66.72 × 주식수 1075797083,4
