기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
McKesson,MCK,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),31699000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/927653/000119312512204736/ ; https://www.sec.gov/Archives/edgar/data/927653/000119312512029656/,31286000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/ ; https://www.sec.gov/Archives/edgar/data/927653/000119312512029656/,6
McKesson,MCK,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),707000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/927653/000119312512204736/ ; https://www.sec.gov/Archives/edgar/data/927653/000119312512029656/,682000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/ ; https://www.sec.gov/Archives/edgar/data/927653/000119312512029656/,6
McKesson,MCK,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),30798000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000119312512316890/,30699000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/,6
McKesson,MCK,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),579000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000119312512316890/,576000000,https://www.sec.gov/Archives/edgar/data/927653/000156178713000013/,6
McKesson,MCK,2012Q3,2012-09-30,분기별 매출액,재분류(미반영),29850000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000155880312000004/,29755000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/,6
McKesson,MCK,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),611000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000155880312000004/,606000000,https://www.sec.gov/Archives/edgar/data/927653/000144530513002484/,6
McKesson,MCK,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),31187000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000156178713000004/,31099000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514002132/,6
McKesson,MCK,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),485000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000156178713000004/,498000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514000159/,6
McKesson,MCK,2013Q1,2013-03-31,분기별 매출액,재분류(미반영),30620000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/927653/000156178713000010/ ; https://www.sec.gov/Archives/edgar/data/927653/000156178713000004/,30643000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/ ; https://www.sec.gov/Archives/edgar/data/927653/000144530514000159/,6
McKesson,MCK,2013Q1,2013-03-31,분기별 영업이익,재분류(미반영),640000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/927653/000156178713000010/ ; https://www.sec.gov/Archives/edgar/data/927653/000156178713000004/,672000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/ ; https://www.sec.gov/Archives/edgar/data/927653/000156178713000004/,6
McKesson,MCK,2013Q2,2013-06-30,분기별 매출액,재분류(미반영),32208000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000156178713000013/,32239000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/,6
McKesson,MCK,2013Q2,2013-06-30,분기별 영업이익,재분류(미반영),647000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000156178713000013/,655000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514003299/,6
McKesson,MCK,2013Q3,2013-09-30,분기별 매출액,재분류(미반영),32954000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000144530513002484/,32985000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/,6
McKesson,MCK,2013Q3,2013-09-30,분기별 영업이익,재분류(미반영),679000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000144530513002484/,686000000,https://www.sec.gov/Archives/edgar/data/927653/000144530514004514/,6
McKesson,MCK,2013Q4,2013-12-31,분기별 매출액,재분류(미반영),34306000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000144530514000159/,34336000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/,6
McKesson,MCK,2013Q4,2013-12-31,분기별 영업이익,재분류(미반영),485000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000144530514000159/,493000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015000491/,6
McKesson,MCK,2013Q4,2013-12-31,분기별 당기순이익(지배),재분류(미반영),64000000,공시,https://www.sec.gov/Archives/edgar/data/927653/000144530514000159/,65000000,https://www.sec.gov/Archives/edgar/data/927653/000162828015004098/,6
