기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Moody's,MCO,2015Q4,2015-12-31,분기별 영업활동현금흐름,재분류(미반영),260100000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312515364771/,304600000,https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312515364771/,7
Moody's,MCO,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,5123400000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/,5103000000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/,7
Moody's,MCO,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,5456400000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/,5436000000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/,7
Moody's,MCO,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,237300000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312516575475/,253600000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517162995/,7
Moody's,MCO,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,291500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312516660481/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312516575475/,292800000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517236880/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517162995/,7
Moody's,MCO,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,327800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312516744801/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312516660481/,342600000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517337521/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517236880/,7
Moody's,MCO,2016Q4,2016-12-31,분기별 영업이익,재분류(미반영),-473100000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312516744801/,-460900000,https://www.sec.gov/Archives/edgar/data/1059556/000119312519048576/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312516744801/,7
Moody's,MCO,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,369500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312516744801/,337100000,https://www.sec.gov/Archives/edgar/data/1059556/000119312517054522/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517337521/,7
Moody's,MCO,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,443400000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312517162995/,446700000,https://www.sec.gov/Archives/edgar/data/1059556/000119312518146828/,7
Moody's,MCO,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,457500000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312517236880/,460100000,https://www.sec.gov/Archives/edgar/data/1059556/000119312518235267/,7
Moody's,MCO,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,464700000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312517236880/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517162995/,471800000,https://www.sec.gov/Archives/edgar/data/1059556/000119312518235267/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517162995/,7
Moody's,MCO,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,445400000,공시,https://www.sec.gov/Archives/edgar/data/1059556/000119312517337521/,448500000,https://www.sec.gov/Archives/edgar/data/1059556/000119312518314004/,7
Moody's,MCO,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,462800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517337521/,465700000,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312518314004/,7
Moody's,MCO,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,404800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1059556/000119312518058986/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312517337521/,405200000,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/ ; https://www.sec.gov/Archives/edgar/data/1059556/000119312518314004/,7
