기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Medtronic,MDT,2014Q4,2015-01-23,분기별 매출액,재작성 반영,0,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310315000008/,4318000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000071/,6
Medtronic,MDT,2014Q4,2015-01-23,분기별 당기순이익(지배),재작성 반영,-37075000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310315000008/,977000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000071/,6
Medtronic,MDT,2016Q1,2016-04-29,분기별 영업이익,재분류(미반영),1505000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310316000071/,1575000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310316000071/,6
Medtronic,MDT,2016Q1,2016-04-29,분기말 자산총계,재작성 반영,99782000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/,99644000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,6
Medtronic,MDT,2016Q1,2016-04-29,분기말 부채총계,재작성 반영,47719000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/,47581000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,6
Medtronic,MDT,2017Q1,2017-04-28,분기별 영업이익,재작성 반영,1631000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310317000008/,1684000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310317000008/,6
Medtronic,MDT,2017Q1,2017-04-28,분기말 자산총계,재작성 반영,99816000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,99857000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/,6
Medtronic,MDT,2017Q1,2017-04-28,분기말 부채총계,재작성 반영,49400000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,49527000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/,6
Medtronic,MDT,2017Q1,2017-04-28,분기말 총자본(자기자본),재작성 반영,50416000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,50330000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000021/,6
Medtronic,MDT,2017Q1,2017-04-28,분기말 지배지분 자본,재작성 반영,50294000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/,50208000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/,6
Medtronic,MDT,2017Q2,2017-07-28,분기별 영업이익,재작성 반영,1389000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000027/,1382000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000032/,6
Medtronic,MDT,2017Q3,2017-10-27,분기별 영업이익,재작성 반영,1901000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000047/,1894000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000044/,6
Medtronic,MDT,2017Q4,2018-01-26,분기별 영업이익,재작성 반영,1426000000,공시,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/,1436000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/,6
Medtronic,MDT,2018Q1,2018-04-27,분기별 영업이익,재작성 반영,1935000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/,1928000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000021/ ; https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/,6
