기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Meta Platforms,META,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,248000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1326801/000132680112000006/ ; https://www.sec.gov/Archives/edgar/data/1326801/000119312512325997/,250000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680112000006/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680113000019/,1
Meta Platforms,META,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,1583000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680114000068/,3452000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680114000068/,1
Meta Platforms,META,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,40184000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/,39966000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/,1
Meta Platforms,META,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4088000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/,3870000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/,1
Meta Platforms,META,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,2827000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680115000032/,4548000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680115000032/,1
Meta Platforms,META,2016Q1,2016-03-31,분기별 당기순이익(지배),재작성 반영,1510000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,1738000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000024/,1
Meta Platforms,META,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,2983000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,3477000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000024/,1
Meta Platforms,META,2016Q1,2016-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),52075000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,1
Meta Platforms,META,2016Q1,2016-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4925000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,1
Meta Platforms,META,2016Q1,2016-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),47150000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,1
Meta Platforms,META,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,2746000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,2734000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000038/,1
Meta Platforms,META,2016Q2,2016-06-30,분기별 당기순이익(지배),재작성 반영,2055000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,2283000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000038/,1
Meta Platforms,META,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,3198000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/,3665000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000038/ ; https://www.sec.gov/Archives/edgar/data/1326801/000132680117000024/,1
Meta Platforms,META,2016Q2,2016-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),55739000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,1
Meta Platforms,META,2016Q2,2016-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),5356000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,1
Meta Platforms,META,2016Q2,2016-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),50383000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/,1
Meta Platforms,META,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,3122000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000087/,3117000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000053/,1
Meta Platforms,META,2016Q3,2016-09-30,분기별 당기순이익(지배),재작성 반영,2379000000,공시,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000087/,2627000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000053/,1
