기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
McCormick,MKC,2010Q1,2010-02-28,분기별 매출액,764500000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/63754/000119312511086071/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-04-01 제출본의 비교기간에서 읽었다,26
McCormick,MKC,2010Q1,2010-02-28,분기별 영업이익,100800000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/63754/000119312511086071/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-01 제출본의 비교기간에서 읽었다,26
McCormick,MKC,2010Q1,2010-02-28,분기별 당기순이익(지배),67900000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/63754/000119312511086071/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-01 제출본의 비교기간에서 읽었다,26
McCormick,MKC,2010Q1,2010-02-28,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/63754/000119312510073190/,,26
McCormick,MKC,2010Q1,2010-02-28,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/63754/000119312510073190/,,26
McCormick,MKC,2010Q1,2010-02-28,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/63754/000119312510073190/,,26
McCormick,MKC,2010Q1,2010-02-28,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/63754/000119312510073190/,,26
McCormick,MKC,2010Q1,2010-02-28,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/63754/000119312510073190/,,26
McCormick,MKC,2010Q1,2010-02-26,분기말 종가,37.11,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MKC?interval=1d&events=splits (2010-02-26),분할조정 종가 18.555 × 이후 분할계수 2,26
McCormick,MKC,2010Q1,2010-02-28,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,26
McCormick,MKC,2010Q1,2010-02-28,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,26
McCormick,MKC,2010Q2,2010-05-31,분기별 매출액,798300000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/63754/000119312511180113/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-07-01 제출본의 비교기간에서 읽었다,26
