기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
3M,MMM,2010Q1,2010-03-31,분기별 매출액,6348000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기별 영업이익,1445000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기별 당기순이익(지배),930000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기별 영업활동현금흐름,1082000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기말 자산총계,28022000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기말 부채총계,14171000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기말 총자본(자기자본),13851000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기말 지배지분 자본,13566000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,,7
3M,MMM,2010Q1,2010-03-31,분기말 종가,83.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-03-31),분할조정 종가 69.8746 × 이후 분할계수 1.196,7
3M,MMM,2010Q1,2010-03-31,분기말 상장주식수,713068068,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
3M,MMM,2010Q1,2010-03-31,분기말 시가총액,59591098443,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,종가 83.57 × 주식수 713068068,7
3M,MMM,2010Q2,2010-06-30,분기별 매출액,6731000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기별 영업이익,1596000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기별 당기순이익(지배),1121000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기별 영업활동현금흐름,1138000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910025776/,누적 2220000000 − 직전누적 1082000000 (시작 2010-01-01),7
3M,MMM,2010Q2,2010-06-30,분기말 자산총계,28496000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기말 부채총계,14233000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기말 총자본(자기자본),14263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기말 지배지분 자본,13971000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,,7
3M,MMM,2010Q2,2010-06-30,분기말 종가,78.99,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-06-30),분할조정 종가 66.0452 × 이후 분할계수 1.196,7
3M,MMM,2010Q2,2010-06-30,분기말 상장주식수,713134328,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
3M,MMM,2010Q2,2010-06-30,분기말 시가총액,56330480569,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,종가 78.99 × 주식수 713134328,7
3M,MMM,2010Q3,2010-09-30,분기별 매출액,6874000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기별 영업이익,1576000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기별 당기순이익(지배),1106000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기별 영업활동현금흐름,1323000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910041912/,누적 3543000000 − 직전누적 2220000000 (시작 2010-01-01),7
3M,MMM,2010Q3,2010-09-30,분기말 자산총계,30065000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기말 부채총계,14232000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기말 총자본(자기자본),15833000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기말 지배지분 자본,15504000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,,7
3M,MMM,2010Q3,2010-09-30,분기말 종가,86.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-09-30),분할조정 종가 72.5 × 이후 분할계수 1.196,7
3M,MMM,2010Q3,2010-09-30,분기말 상장주식수,714859083,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
3M,MMM,2010Q3,2010-09-30,분기말 시가총액,61985431087,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,종가 86.71 × 주식수 714859083,7
3M,MMM,2010Q4,2010-12-31,분기별 매출액,6709000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,연간 26662000000 − 9개월누적 19953000000 (SalesRevenueNet),7
3M,MMM,2010Q4,2010-12-31,분기별 영업이익,1301000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,연간 5918000000 − 9개월누적 4617000000 (OperatingIncomeLoss),7
3M,MMM,2010Q4,2010-12-31,분기별 당기순이익(지배),928000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,연간 4085000000 − 9개월누적 3157000000 (NetIncomeLoss),7
3M,MMM,2010Q4,2010-12-31,분기별 영업활동현금흐름,1631000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/ ; https://www.sec.gov/Archives/edgar/data/66740/000110465910056482/,누적 5174000000 − 직전누적 3543000000 (시작 2010-01-01),7
3M,MMM,2010Q4,2010-12-31,분기말 자산총계,30156000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,,7
3M,MMM,2010Q4,2010-12-31,분기말 부채총계,14139000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,,7
3M,MMM,2010Q4,2010-12-31,분기말 총자본(자기자본),16017000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,,7
3M,MMM,2010Q4,2010-12-31,분기말 지배지분 자본,15663000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,,7
3M,MMM,2010Q4,2010-12-31,분기말 종가,86.3,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-12-31),분할조정 종가 72.1572 × 이후 분할계수 1.196,7
3M,MMM,2010Q4,2011-01-31,분기말 상장주식수,711805978,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
3M,MMM,2010Q4,2010-12-31,분기말 시가총액,61428855901,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MMM?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/,종가 86.3 × 주식수 711805978,7
3M,MMM,2011Q1,2011-03-31,분기별 매출액,7311000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/,,7
3M,MMM,2011Q1,2011-03-31,분기별 영업이익,1578000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/,,7
3M,MMM,2011Q1,2011-03-31,분기별 당기순이익(지배),1081000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/,,7
3M,MMM,2011Q1,2011-03-31,분기별 영업활동현금흐름,733000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/,,7
3M,MMM,2011Q1,2011-03-31,분기말 자산총계,31129000000,USD,공시,https://www.sec.gov/Archives/edgar/data/66740/000110465911026236/,,7
