기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Altria,MO,2010Q1,2010-03-31,분기별 매출액,5760000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,,6
Altria,MO,2010Q1,2010-03-31,분기별 영업이익,1430000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,,6
Altria,MO,2010Q1,2010-03-31,분기별 당기순이익(지배),813000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,,6
Altria,MO,2010Q1,2010-03-31,분기별 영업활동현금흐름,2041000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,,6
Altria,MO,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,자체 검증 실패: 자산 37999000000 ≠ 부채 33702000000 + 총자본 4265000000 + 메자닌 0 (차이 32000000),6
Altria,MO,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,자체 검증 실패: 자산 37999000000 ≠ 부채 33702000000 + 총자본 4265000000 + 메자닌 0 (차이 32000000),6
Altria,MO,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,자체 검증 실패: 자산 37999000000 ≠ 부채 33702000000 + 총자본 4265000000 + 메자닌 0 (차이 32000000),6
Altria,MO,2010Q1,2010-03-31,분기말 지배지분 자본,4263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,,6
Altria,MO,2010Q1,2010-03-31,분기말 종가,20.52,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MO?interval=1d&events=splits (2010-03-31),,6
Altria,MO,2010Q1,2010-04-19,분기말 상장주식수,2082565977,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Altria,MO,2010Q1,2010-03-31,분기말 시가총액,42734253848,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MO?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,종가 20.52 × 주식수 2082565977,6
Altria,MO,2010Q2,2010-06-30,분기별 매출액,6274000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,,6
Altria,MO,2010Q2,2010-06-30,분기별 영업이익,1529000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,,6
Altria,MO,2010Q2,2010-06-30,분기별 당기순이익(지배),1042000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,,6
Altria,MO,2010Q2,2010-06-30,분기별 영업활동현금흐름,-1750000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/ ; https://www.sec.gov/Archives/edgar/data/764180/000119312510096771/,누적 291000000 − 직전누적 2041000000 (시작 2010-01-01),6
Altria,MO,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,자체 검증 실패: 자산 35245000000 ≠ 부채 30689000000 + 총자본 4523000000 + 메자닌 0 (차이 33000000),6
Altria,MO,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,자체 검증 실패: 자산 35245000000 ≠ 부채 30689000000 + 총자본 4523000000 + 메자닌 0 (차이 33000000),6
Altria,MO,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,자체 검증 실패: 자산 35245000000 ≠ 부채 30689000000 + 총자본 4523000000 + 메자닌 0 (차이 33000000),6
Altria,MO,2010Q2,2010-06-30,분기말 지배지분 자본,4521000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,,6
Altria,MO,2010Q2,2010-06-30,분기말 종가,20.04,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MO?interval=1d&events=splits (2010-06-30),,6
Altria,MO,2010Q2,2010-07-20,분기말 상장주식수,2083965475,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Altria,MO,2010Q2,2010-06-30,분기말 시가총액,41762668119,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MO?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,종가 20.04 × 주식수 2083965475,6
Altria,MO,2010Q3,2010-09-30,분기별 매출액,6402000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510239023/,,6
Altria,MO,2010Q3,2010-09-30,분기별 영업이익,1776000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510239023/,,6
Altria,MO,2010Q3,2010-09-30,분기별 당기순이익(지배),1131000000,USD,공시,https://www.sec.gov/Archives/edgar/data/764180/000119312510239023/,,6
Altria,MO,2010Q3,2010-09-30,분기별 영업활동현금흐름,1431000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/764180/000119312510239023/ ; https://www.sec.gov/Archives/edgar/data/764180/000119312510197793/,누적 1722000000 − 직전누적 291000000 (시작 2010-01-01),6
