기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510099300/,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 종가,22.3,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MPWR?interval=1d&events=splits (2010-03-31),,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Monolithic Power Systems,MPWR,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기별 매출액,55690000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1280452/000143774911005640/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-08-09 제출본의 비교기간에서 읽었다,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기별 영업이익,6806000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1280452/000143774911005640/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-09 제출본의 비교기간에서 읽었다,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000119312510169045/,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 종가,17.86,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MPWR?interval=1d&events=splits (2010-06-30),,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Monolithic Power Systems,MPWR,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Monolithic Power Systems,MPWR,2010Q3,2010-09-30,분기별 매출액,65843000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1280452/000143774911007798/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-10-27 제출본의 비교기간에서 읽었다,9
Monolithic Power Systems,MPWR,2010Q3,2010-09-30,분기별 영업이익,13435000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1280452/000143774911007798/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-10-27 제출본의 비교기간에서 읽었다,9
Monolithic Power Systems,MPWR,2010Q3,2010-09-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000143774910003649/,,9
Monolithic Power Systems,MPWR,2010Q3,2010-09-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1280452/000143774910003649/,,9
