기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Merck,MRK,2010Q1,2010-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),60343200000,공시,https://www.sec.gov/Archives/edgar/data/310158/000095012310045997/,,https://www.sec.gov/Archives/edgar/data/310158/000095012310045997/,3
Merck,MRK,2010Q1,2010-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),57878100000,공시,https://www.sec.gov/Archives/edgar/data/310158/000095012310045997/,,https://www.sec.gov/Archives/edgar/data/310158/000095012310045997/,3
Merck,MRK,2010Q2,2010-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),57665700000,공시,https://www.sec.gov/Archives/edgar/data/310158/000095012310074336/,,https://www.sec.gov/Archives/edgar/data/310158/000095012310074336/,3
Merck,MRK,2010Q2,2010-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),55231700000,공시,https://www.sec.gov/Archives/edgar/data/310158/000095012310074336/,,https://www.sec.gov/Archives/edgar/data/310158/000095012310074336/,3
Merck,MRK,2014Q4,2014-12-31,분기별 영업활동현금흐름,재분류(미반영),-1164000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015814000071/,-1035000000,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015814000071/,3
Merck,MRK,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,98335000000,공시,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/,98167000000,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/,3
Merck,MRK,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,49544000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/,49376000000,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/,3
Merck,MRK,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,2585000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310158/000031015815000053/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015815000008/,2697000000,https://www.sec.gov/Archives/edgar/data/310158/000031015816000094/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015815000008/,3
Merck,MRK,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,3305000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310158/000031015815000058/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015815000053/,3311000000,https://www.sec.gov/Archives/edgar/data/310158/000031015816000098/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015816000094/,3
Merck,MRK,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,4247000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015815000058/,4246000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/ ; https://www.sec.gov/Archives/edgar/data/310158/000031015816000098/,3
Merck,MRK,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,101779000000,공시,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/,101677000000,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/,3
Merck,MRK,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,57012000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/,56910000000,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/,3
