기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Moderna,MRNA,2019Q1,2019-03-31,분기별 영업이익,재작성 반영,-141833000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,-141641000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000010/,9
Moderna,MRNA,2019Q1,2019-03-31,분기별 당기순이익(지배),재작성 반영,-132657000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,-132576000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000010/,9
Moderna,MRNA,2019Q1,2019-03-31,분기별 영업활동현금흐름,재작성 반영,-143927000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,-144268000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000010/,9
Moderna,MRNA,2019Q1,2019-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1806207000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,9
Moderna,MRNA,2019Q1,2019-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),360174000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,9
Moderna,MRNA,2019Q1,2019-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1446033000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,9
Moderna,MRNA,2019Q2,2019-06-30,분기별 영업이익,재작성 반영,-143936000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,-143709000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000017/,9
Moderna,MRNA,2019Q2,2019-06-30,분기별 당기순이익(지배),재작성 반영,-135054000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,-134940000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000017/,9
Moderna,MRNA,2019Q2,2019-06-30,분기별 영업활동현금흐름,재작성 반영,-112220000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,-108585000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000017/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285220000010/,9
Moderna,MRNA,2019Q2,2019-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1685279000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,9
Moderna,MRNA,2019Q2,2019-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),346725000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,9
Moderna,MRNA,2019Q2,2019-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1338554000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,9
Moderna,MRNA,2019Q3,2019-09-30,분기별 영업이익,재작성 반영,-130857000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,-130764000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q3,2019-09-30,분기별 당기순이익(지배),재작성 반영,-123194000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,-123215000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q3,2019-09-30,분기별 영업활동현금흐름,재작성 반영,-107048000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,-107093000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285220000017/,9
Moderna,MRNA,2019Q3,2019-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1590899000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,9
Moderna,MRNA,2019Q3,2019-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),339092000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,9
Moderna,MRNA,2019Q3,2019-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1251807000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,9
Moderna,MRNA,2019Q4,2019-12-31,분기별 영업이익,재작성 반영,-129094000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,-129606000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q4,2019-12-31,분기별 당기순이익(지배),재작성 반영,-123116000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,-123290000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q4,2019-12-31,분기별 영업활동현금흐름,재작성 반영,-95773000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,-99022000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/ ; https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q2,2019-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1338554000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000031/,1334960000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
Moderna,MRNA,2019Q1,2019-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1446033000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000023/,1442325000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000017/,9
Moderna,MRNA,2019Q3,2019-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1251807000,공시,https://www.sec.gov/Archives/edgar/data/1682852/000168285219000036/,1248192000,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000023/,9
