기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Marvell Technology,MRVL,2014Q3,2014-11-01,분기별 영업활동현금흐름,재작성 반영,194644000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514332176/,181424000,https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514332176/,4
Marvell Technology,MRVL,2014Q4,2015-01-31,분기별 매출액,재분류(미반영),857452000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1058057/000119312515107187/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/,787695000,https://www.sec.gov/Archives/edgar/data/1058057/000162828017002968/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/,4
Marvell Technology,MRVL,2014Q4,2015-01-31,분기별 영업이익,재분류(미반영),79838000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1058057/000119312515107187/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/,127395000,https://www.sec.gov/Archives/edgar/data/1058057/000162828017002968/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/,4
Marvell Technology,MRVL,2014Q4,2015-01-31,분기별 영업활동현금흐름,재작성 반영,142201000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1058057/000119312515107187/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312514433564/,155421000,https://www.sec.gov/Archives/edgar/data/1058057/000119312515107187/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/,4
Marvell Technology,MRVL,2015Q4,2016-01-30,분기별 매출액,재분류(미반영),616158000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1058057/000119312516653778/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/,492827000,https://www.sec.gov/Archives/edgar/data/1058057/000105805718000009/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/,4
Marvell Technology,MRVL,2015Q4,2016-01-30,분기별 영업이익,재분류(미반영),2270000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1058057/000119312516653778/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/,73599000,https://www.sec.gov/Archives/edgar/data/1058057/000105805718000009/ ; https://www.sec.gov/Archives/edgar/data/1058057/000119312516653770/,4
Marvell Technology,MRVL,2016Q2,2016-07-30,분기별 매출액,재분류(미반영),626404000,공시,https://www.sec.gov/Archives/edgar/data/1058057/000119312516705222/,597346000,https://www.sec.gov/Archives/edgar/data/1058057/000105805717000009/,4
Marvell Technology,MRVL,2016Q2,2016-07-30,분기별 영업이익,재분류(미반영),39506000,공시,https://www.sec.gov/Archives/edgar/data/1058057/000119312516705222/,50359000,https://www.sec.gov/Archives/edgar/data/1058057/000105805717000009/,4
Marvell Technology,MRVL,2016Q3,2016-10-29,분기별 매출액,재분류(미반영),654422000,공시,https://www.sec.gov/Archives/edgar/data/1058057/000119312516786373/,623651000,https://www.sec.gov/Archives/edgar/data/1058057/000105805717000018/,4
Marvell Technology,MRVL,2016Q3,2016-10-29,분기별 영업이익,재분류(미반영),82953000,공시,https://www.sec.gov/Archives/edgar/data/1058057/000119312516786373/,93226000,https://www.sec.gov/Archives/edgar/data/1058057/000105805717000018/,4
