기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Microsoft,MSFT,2014Q2,2014-06-30,분기별 영업활동현금흐름,재작성 반영,9514000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312514157088/,9785000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312514157088/,1
Microsoft,MSFT,2015Q1,2015-03-31,분기별 영업활동현금흐름,재작성 반영,9570000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/789019/000119312515144151/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312515020351/,10125000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312515020351/,1
Microsoft,MSFT,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,6816000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312515144151/,6849000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/,1
Microsoft,MSFT,2015Q2,2015-06-30,분기말 자산총계,재작성 반영,176223000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/,174472000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/,1
Microsoft,MSFT,2015Q2,2015-06-30,분기말 부채총계,재작성 반영,96140000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/,94389000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/,1
Microsoft,MSFT,2015Q3,2015-09-30,분기별 당기순이익(지배),재작성 반영,4620000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312515350718/,4902000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/,1
Microsoft,MSFT,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,8594000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312515350718/,8876000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516742796/,1
Microsoft,MSFT,2015Q4,2015-12-31,분기별 당기순이익(지배),재작성 반영,4998000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312516441821/,5018000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/,1
Microsoft,MSFT,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,5598000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/789019/000119312516441821/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312515350718/,5618000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017000654/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516742796/,1
Microsoft,MSFT,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,10669000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516441821/,10367000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/ ; https://www.sec.gov/Archives/edgar/data/789019/000156459017000654/,1
Microsoft,MSFT,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,3080000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/,8976000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/,1
Microsoft,MSFT,2016Q2,2016-06-30,분기별 당기순이익(지배),재작성 반영,3122000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/,6863000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/ ; https://www.sec.gov/Archives/edgar/data/789019/000119312516550254/,1
Microsoft,MSFT,2016Q2,2016-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),193694000000,공시,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/,,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/,1
