기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Motorola Solutions,MSI,2010Q1,2010-04-03,분기별 매출액,5044000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기별 영업이익,76000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기별 당기순이익(지배),69000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기별 영업활동현금흐름,485000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기말 자산총계,25260000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기말 부채총계,15215000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,부채및자본 25260000000 − 총자본 10045000000,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기말 총자본(자기자본),10045000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기말 지배지분 자본,9944000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,,8
Motorola Solutions,MSI,2010Q1,2010-04-01,분기말 종가,7.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-04-01),분할조정 종가 28.5401 × 이후 분할계수 0.247372,8
Motorola Solutions,MSI,2010Q1,2010-04-03,분기말 상장주식수,2324084852,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Motorola Solutions,MSI,2010Q1,2010-04-01,분기말 시가총액,16408039055,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,종가 7.06 × 주식수 2324084852,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기별 매출액,5414000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기별 영업이익,363000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기별 당기순이익(지배),162000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기별 영업활동현금흐름,242000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910004771/,누적 727000000 − 직전누적 485000000 (시작 2010-01-01),8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기말 자산총계,24812000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기말 부채총계,14592000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,부채및자본 24812000000 − 총자본 10220000000,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기말 총자본(자기자본),10220000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기말 지배지분 자본,10116000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,,8
Motorola Solutions,MSI,2010Q2,2010-07-02,분기말 종가,6.48,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-07-02),분할조정 종가 26.1954 × 이후 분할계수 0.247372,8
Motorola Solutions,MSI,2010Q2,2010-07-03,분기말 상장주식수,2333888938,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Motorola Solutions,MSI,2010Q2,2010-07-02,분기말 시가총액,15123600318,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,종가 6.48 × 주식수 2333888938,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기별 매출액,4890000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기별 영업이익,225000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기별 당기순이익(지배),109000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기별 영업활동현금흐름,188000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910007043/,누적 915000000 − 직전누적 727000000 (시작 2010-01-01),8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기말 자산총계,25925000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기말 부채총계,15379000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,부채및자본 25925000000 − 총자본 10546000000,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기말 총자본(자기자본),10546000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기말 지배지분 자본,10441000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,,8
Motorola Solutions,MSI,2010Q3,2010-10-01,분기말 종가,8.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-10-01),분할조정 종가 34.6038 × 이후 분할계수 0.247372,8
Motorola Solutions,MSI,2010Q3,2010-10-02,분기말 상장주식수,2349381030,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Motorola Solutions,MSI,2010Q3,2010-10-01,분기말 시가총액,20110701617,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-10-01) ; https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,종가 8.56 × 주식수 2349381030,8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기별 매출액,5663000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,연간 19282000000 − 9개월누적 13619000000 (Revenues),8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기별 영업이익,378000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,연간 789000000 − 9개월누적 411000000 (OperatingIncomeLoss),8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기별 당기순이익(지배),293000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,연간 633000000 − 9개월누적 340000000 (NetIncomeLoss),8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기별 영업활동현금흐름,619000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/ ; https://www.sec.gov/Archives/edgar/data/68505/000104746910009104/,누적 1534000000 − 직전누적 915000000 (시작 2010-01-01),8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기말 자산총계,25577000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/,,8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기말 부채총계,14590000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/,부채및자본 25577000000 − 총자본 10987000000,8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기말 총자본(자기자본),10987000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/,,8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기말 지배지분 자본,10885000000,USD,공시,https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/,,8
Motorola Solutions,MSI,2010Q4,2010-12-31,분기말 종가,9.07,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/MSI?interval=1d&events=splits (2010-12-31),분할조정 종가 36.6655 × 이후 분할계수 0.247372,8
Motorola Solutions,MSI,2010Q4,2011-01-31,분기말 상장주식수,336710130,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/,dei:EntityCommonStockSharesOutstanding 클래스 합; 표지 기준일이 분할 후,8
