기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
NextEra Energy,NEE,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),911000000,공시,https://www.sec.gov/Archives/edgar/data/753308/000075330811000078/,902000000,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/,4
NextEra Energy,NEE,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),1132000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/753308/000075330812000025/ ; https://www.sec.gov/Archives/edgar/data/753308/000075330811000078/,1015000000,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/ ; https://www.sec.gov/Archives/edgar/data/753308/000075330811000078/,4
NextEra Energy,NEE,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),843000000,공시,https://www.sec.gov/Archives/edgar/data/753308/000075330812000048/,803000000,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,4
NextEra Energy,NEE,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),749000000,공시,https://www.sec.gov/Archives/edgar/data/753308/000075330812000118/,742000000,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,4
NextEra Energy,NEE,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),661000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/ ; https://www.sec.gov/Archives/edgar/data/753308/000075330812000118/,731000000,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/ ; https://www.sec.gov/Archives/edgar/data/753308/000075330813000091/,4
NextEra Energy,NEE,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),69306000000,공시,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,4
NextEra Energy,NEE,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),51266000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,4
NextEra Energy,NEE,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),18040000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/,4
NextEra Energy,NEE,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,74929000000,공시,https://www.sec.gov/Archives/edgar/data/753308/000075330815000079/,74605000000,https://www.sec.gov/Archives/edgar/data/753308/000075330817000060/,4
NextEra Energy,NEE,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,54761000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/753308/000075330815000079/,54437000000,https://www.sec.gov/Archives/edgar/data/753308/000075330816000337/,4
