기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Newmont,NEM,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),27474000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,5
Newmont,NEM,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),11703000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,5
Newmont,NEM,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),15771000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,5
Newmont,NEM,2011Q4,2011-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),12896000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312512075918/,5
Newmont,NEM,2012Q4,2012-12-31,분기별 당기순이익(지배),재분류(미반영),673000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/ ; https://www.sec.gov/Archives/edgar/data/1164727/000119312512446912/,666000000,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/ ; https://www.sec.gov/Archives/edgar/data/1164727/000119312512446912/,5
Newmont,NEM,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),16948000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/,5
Newmont,NEM,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),13773000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513070256/,5
Newmont,NEM,2013Q1,2013-03-31,분기별 당기순이익(지배),재분류(미반영),315000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513183142/,314000000,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/,5
Newmont,NEM,2013Q1,2013-03-31,분기말 총자본(자기자본),재작성 반영,17125000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513183142/,17124000000,https://www.sec.gov/Archives/edgar/data/1164727/000119312514158041/,5
Newmont,NEM,2013Q2,2013-06-30,분기별 당기순이익(지배),재분류(미반영),-2019000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,-2059000000,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/,5
Newmont,NEM,2013Q2,2013-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),26476000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,5
Newmont,NEM,2013Q2,2013-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),12238000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,5
Newmont,NEM,2013Q2,2013-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),14238000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,5
Newmont,NEM,2013Q2,2013-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),11226000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513303560/,5
Newmont,NEM,2013Q3,2013-09-30,분기별 당기순이익(지배),재분류(미반영),408000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,398000000,https://www.sec.gov/Archives/edgar/data/1164727/000156459015000777/,5
Newmont,NEM,2013Q3,2013-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),26799000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,5
Newmont,NEM,2013Q3,2013-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),12257000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,5
Newmont,NEM,2013Q3,2013-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),14542000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,5
Newmont,NEM,2013Q3,2013-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),11533000000,공시,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,,https://www.sec.gov/Archives/edgar/data/1164727/000119312513421225/,5
