기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
NiSource,NI,2010Q1,2010-03-31,분기별 매출액,2358700000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1111711/000095012311043546/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,18
NiSource,NI,2010Q1,2010-03-31,분기별 영업이익,403400000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1111711/000095012311043546/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,18
NiSource,NI,2010Q1,2010-03-31,분기별 당기순이익(지배),197300000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1111711/000095012311043546/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,18
NiSource,NI,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1111711/000095012310043358/,,18
NiSource,NI,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1111711/000095012310043358/,,18
NiSource,NI,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1111711/000095012310043358/,,18
NiSource,NI,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1111711/000095012310043358/,,18
NiSource,NI,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1111711/000095012310043358/,,18
NiSource,NI,2010Q1,2010-03-31,분기말 종가,15.8,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NI?interval=1d&events=splits (2010-03-31),분할조정 종가 6.2083 × 이후 분할계수 2.545,18
NiSource,NI,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,18
NiSource,NI,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,18
NiSource,NI,2010Q2,2010-06-30,분기별 매출액,1171100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기별 영업이익,139200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기별 당기순이익(지배),28100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기말 자산총계,19048100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기말 부채총계,14153200000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,부채및자본 19048100000 − 총자본 4894900000,18
NiSource,NI,2010Q2,2010-06-30,분기말 총자본(자기자본),4894900000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,"StockholdersEquity, MinorityInterest 태그 없음",18
NiSource,NI,2010Q2,2010-06-30,분기말 지배지분 자본,4894900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,,18
NiSource,NI,2010Q2,2010-06-30,분기말 종가,14.5,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NI?interval=1d&events=splits (2010-06-30),분할조정 종가 5.6974 × 이후 분할계수 2.545,18
NiSource,NI,2010Q2,2010-07-30,분기말 상장주식수,277974738,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,dei:EntityCommonStockSharesOutstanding 클래스 합,18
NiSource,NI,2010Q2,2010-06-30,분기말 시가총액,4030633701,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NI?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,종가 14.5 × 주식수 277974738,18
NiSource,NI,2010Q3,2010-09-30,분기별 매출액,1138100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310097945/,,18
NiSource,NI,2010Q3,2010-09-30,분기별 영업이익,123300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310097945/,,18
NiSource,NI,2010Q3,2010-09-30,분기별 당기순이익(지배),33200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1111711/000095012310097945/,,18
NiSource,NI,2010Q3,2010-09-30,분기별 영업활동현금흐름,-70000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1111711/000095012310097945/ ; https://www.sec.gov/Archives/edgar/data/1111711/000095012310071671/,누적 332500000 − 직전누적 402500000 (시작 2010-01-01),18
