기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
NIKE,NKE,2011Q2,2011-05-31,분기별 매출액,재분류(미반영),5766000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,5021000000,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,10
NIKE,NKE,2011Q2,2011-05-31,분기말 부채총계,재작성 반영,5155000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,5205000000,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,10
NIKE,NKE,2011Q2,2011-05-31,분기말 총자본(자기자본),재작성 반영,9843000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,9793000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,10
NIKE,NKE,2011Q2,2011-05-31,분기말 지배지분 자본,재작성 반영,9843000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,9793000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,10
NIKE,NKE,2011Q4,2011-11-30,분기별 매출액,재분류(미반영),5731000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312512003655/,5546000000,https://www.sec.gov/Archives/edgar/data/320187/000119312513008172/,10
NIKE,NKE,2012Q1,2012-02-29,분기별 매출액,재분류(미반영),5846000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,5656000000,https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,10
NIKE,NKE,2012Q2,2012-05-31,분기별 매출액,재분류(미반영),6470000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,6236000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,10
NIKE,NKE,2012Q2,2012-05-31,분기별 당기순이익(지배),재작성 반영,549000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,537000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,10
NIKE,NKE,2012Q2,2012-05-31,분기별 영업활동현금흐름,재작성 반영,974000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,1007000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312512153669/,10
NIKE,NKE,2012Q2,2012-05-31,분기말 부채총계,재작성 반영,5084000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/,5146000000,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/,10
NIKE,NKE,2012Q2,2012-05-31,분기말 총자본(자기자본),재작성 반영,10381000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/,10319000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/,10
NIKE,NKE,2012Q2,2012-05-31,분기말 지배지분 자본,재작성 반영,10381000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/,10319000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/,10
NIKE,NKE,2012Q3,2012-08-31,분기별 매출액,재분류(미반영),6669000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312512418554/,6474000000,https://www.sec.gov/Archives/edgar/data/320187/000032018713000183/,10
NIKE,NKE,2013Q1,2013-02-28,분기별 영업활동현금흐름,재분류(미반영),423000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513008172/,447000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000030/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513008172/,10
NIKE,NKE,2013Q2,2013-05-31,분기별 당기순이익(지배),재작성 반영,668000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,655000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,10
NIKE,NKE,2013Q2,2013-05-31,분기별 영업활동현금흐름,재작성 반영,1359000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,1364000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312513142156/,10
NIKE,NKE,2013Q2,2013-05-31,분기말 자산총계,재작성 반영,17584000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/,17545000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,10
NIKE,NKE,2013Q2,2013-05-31,분기말 부채총계,재작성 반영,6428000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/,6464000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,10
NIKE,NKE,2013Q2,2013-05-31,분기말 총자본(자기자본),재작성 반영,11156000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/,11081000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,10
NIKE,NKE,2013Q2,2013-05-31,분기말 지배지분 자본,재작성 반영,11156000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/,11081000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,10
NIKE,NKE,2013Q3,2013-08-31,분기별 당기순이익(지배),재작성 반영,780000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018713000183/,779000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000158/,10
NIKE,NKE,2013Q3,2013-08-31,분기별 영업활동현금흐름,재작성 반영,597000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018713000183/,618000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000158/,10
NIKE,NKE,2013Q4,2013-11-30,분기별 당기순이익(지배),재작성 반영,537000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018714000003/,534000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000003/,10
NIKE,NKE,2013Q4,2013-11-30,분기별 영업활동현금흐름,재작성 반영,332000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018714000003/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018713000183/,330000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000003/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018714000158/,10
NIKE,NKE,2014Q1,2014-02-28,분기별 당기순이익(지배),재작성 반영,685000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018714000030/,682000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/,10
NIKE,NKE,2014Q1,2014-02-28,분기별 영업활동현금흐름,재작성 반영,754000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018714000030/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018714000003/,737000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018715000003/,10
NIKE,NKE,2014Q2,2014-05-31,분기별 당기순이익(지배),재작성 반영,691000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018714000030/,698000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/,10
NIKE,NKE,2014Q2,2014-05-31,분기별 영업활동현금흐름,재작성 반영,1320000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018714000030/,1328000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/,10
NIKE,NKE,2014Q3,2014-08-31,분기별 영업활동현금흐름,재작성 반영,588000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018714000158/,683000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000208/,10
NIKE,NKE,2014Q4,2014-11-30,분기별 영업활동현금흐름,재작성 반영,647000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018715000003/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018714000158/,864000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000242/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018715000208/,10
NIKE,NKE,2015Q1,2015-02-28,분기별 영업활동현금흐름,재작성 반영,2103000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018715000003/,1791000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000044/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018716000242/,10
NIKE,NKE,2015Q2,2015-05-31,분기말 자산총계,재작성 반영,21600000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/,21597000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,10
NIKE,NKE,2015Q2,2015-05-31,분기말 부채총계,재작성 반영,20354000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/,20351000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,10
NIKE,NKE,2016Q2,2016-05-31,분기별 영업활동현금흐름,재작성 반영,1184000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018716000264/,1487000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018716000264/,10
NIKE,NKE,2016Q2,2016-05-31,분기말 자산총계,재작성 반영,21396000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,21379000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/,10
NIKE,NKE,2016Q2,2016-05-31,분기말 부채총계,재작성 반영,21078000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/,21061000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/,10
NIKE,NKE,2016Q3,2016-08-31,분기별 영업활동현금흐름,재작성 반영,721000000,공시,https://www.sec.gov/Archives/edgar/data/320187/000032018716000381/,788000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000184/,10
NIKE,NKE,2016Q4,2016-11-30,분기별 영업활동현금흐름,재작성 반영,963000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018717000003/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018716000381/,982000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018717000184/,10
NIKE,NKE,2017Q1,2017-02-28,분기별 영업활동현금흐름,재작성 반영,1067000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018717000031/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018717000003/,1114000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/,10
NIKE,NKE,2017Q2,2017-05-31,분기별 영업활동현금흐름,재작성 반영,889000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018717000031/,962000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/ ; https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/,10
