기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
NIKE,NKE,2010Q1,2010-02-28,분기별 매출액,4733000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,,10
NIKE,NKE,2010Q1,2010-02-28,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2010Q1,2010-02-28,분기별 당기순이익(지배),496400000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,,10
NIKE,NKE,2010Q1,2010-02-28,분기별 영업활동현금흐름,511900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312510002092/,누적 1889000000 − 직전누적 1377100000 (시작 2009-06-01),10
NIKE,NKE,2010Q1,2010-02-28,분기말 자산총계,13576300000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,,10
NIKE,NKE,2010Q1,2010-02-28,분기말 부채총계,4147400000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,부채및자본 13576300000 − 총자본 9428900000,10
NIKE,NKE,2010Q1,2010-02-28,분기말 총자본(자기자본),9428900000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,"StockholdersEquity, MinorityInterest 태그 없음",10
NIKE,NKE,2010Q1,2010-02-28,분기말 지배지분 자본,9428900000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,,10
NIKE,NKE,2010Q1,2010-02-26,분기말 종가,67.6,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2010-02-26),분할조정 종가 16.9 × 이후 분할계수 4,10
NIKE,NKE,2010Q1,2010-03-31,분기말 상장주식수,395710294,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
NIKE,NKE,2010Q1,2010-02-26,분기말 시가총액,26750015874,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2010-02-26) ; https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,종가 67.6 × 주식수 395710294,10
NIKE,NKE,2010Q2,2010-05-31,분기별 매출액,5076900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,연간 19014000000 − 9개월누적 13937100000 (SalesRevenueNet),10
NIKE,NKE,2010Q2,2010-05-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2010Q2,2010-05-31,분기별 당기순이익(지배),521900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,연간 1906700000 − 9개월누적 1384800000 (NetIncomeLoss),10
NIKE,NKE,2010Q2,2010-05-31,분기별 영업활동현금흐름,1275200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312510078534/,누적 3164200000 − 직전누적 1889000000 (시작 2009-06-01),10
NIKE,NKE,2010Q2,2010-05-31,분기말 자산총계,14419300000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/,,10
NIKE,NKE,2010Q2,2010-05-31,분기말 부채총계,4665600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/,부채및자본 14419300000 − 총자본 9753700000,10
NIKE,NKE,2010Q2,2010-05-31,분기말 총자본(자기자본),9753700000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/,"StockholdersEquity, MinorityInterest 태그 없음",10
NIKE,NKE,2010Q2,2010-05-31,분기말 지배지분 자본,9753700000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/,,10
NIKE,NKE,2010Q2,2010-05-28,분기말 종가,72.38,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2010-05-28),분할조정 종가 18.095 × 이후 분할계수 4,10
NIKE,NKE,2010Q2,2010-05-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2010Q2,2010-05-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2010Q3,2010-08-31,분기별 매출액,5175000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,,10
NIKE,NKE,2010Q3,2010-08-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2010Q3,2010-08-31,분기별 당기순이익(지배),559000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,,10
NIKE,NKE,2010Q3,2010-08-31,분기별 영업활동현금흐름,212000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,,10
NIKE,NKE,2010Q3,2010-08-31,분기말 자산총계,14051000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,,10
NIKE,NKE,2010Q3,2010-08-31,분기말 부채총계,4391000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,부채및자본 14051000000 − 총자본 9660000000,10
NIKE,NKE,2010Q3,2010-08-31,분기말 총자본(자기자본),9660000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,"StockholdersEquity, MinorityInterest 태그 없음",10
NIKE,NKE,2010Q3,2010-08-31,분기말 지배지분 자본,9660000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,,10
NIKE,NKE,2010Q3,2010-08-31,분기말 종가,70.0,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2010-08-31),분할조정 종가 17.5 × 이후 분할계수 4,10
NIKE,NKE,2010Q3,2010-08-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2010Q3,2010-08-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2010Q4,2010-11-30,분기별 매출액,4842000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,,10
NIKE,NKE,2010Q4,2010-11-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2010Q4,2010-11-30,분기별 당기순이익(지배),457000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,,10
NIKE,NKE,2010Q4,2010-11-30,분기별 영업활동현금흐름,435000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312510224858/,누적 647000000 − 직전누적 212000000 (시작 2010-06-01),10
NIKE,NKE,2010Q4,2010-11-30,분기말 자산총계,14464000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,,10
NIKE,NKE,2010Q4,2010-11-30,분기말 부채총계,4515000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,부채및자본 14464000000 − 총자본 9949000000,10
NIKE,NKE,2010Q4,2010-11-30,분기말 총자본(자기자본),9949000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,"StockholdersEquity, MinorityInterest 태그 없음",10
NIKE,NKE,2010Q4,2010-11-30,분기말 지배지분 자본,9949000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,,10
NIKE,NKE,2010Q4,2010-11-30,분기말 종가,86.13,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2010-11-30),분할조정 종가 21.5325 × 이후 분할계수 4,10
NIKE,NKE,2010Q4,2010-11-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2010Q4,2010-11-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2011Q1,2011-02-28,분기별 매출액,5079000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,,10
NIKE,NKE,2011Q1,2011-02-28,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2011Q1,2011-02-28,분기별 당기순이익(지배),523000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,,10
NIKE,NKE,2011Q1,2011-02-28,분기별 영업활동현금흐름,323000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511002957/,누적 970000000 − 직전누적 647000000 (시작 2010-06-01),10
NIKE,NKE,2011Q1,2011-02-28,분기말 자산총계,14478000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,,10
NIKE,NKE,2011Q1,2011-02-28,분기말 부채총계,4576000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,부채및자본 14478000000 − 총자본 9902000000,10
NIKE,NKE,2011Q1,2011-02-28,분기말 총자본(자기자본),9902000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,"StockholdersEquity, MinorityInterest 태그 없음",10
NIKE,NKE,2011Q1,2011-02-28,분기말 지배지분 자본,9902000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,,10
NIKE,NKE,2011Q1,2011-02-28,분기말 종가,89.03,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2011-02-28),분할조정 종가 22.2575 × 이후 분할계수 4,10
NIKE,NKE,2011Q1,2011-02-28,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2011Q1,2011-02-28,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,10
NIKE,NKE,2011Q2,2011-05-31,분기별 매출액,5766000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,연간 20862000000 − 9개월누적 15096000000 (SalesRevenueNet),10
NIKE,NKE,2011Q2,2011-05-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000320187: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000320187: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
NIKE,NKE,2011Q2,2011-05-31,분기별 당기순이익(지배),594000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,연간 2133000000 − 9개월누적 1539000000 (NetIncomeLoss),10
NIKE,NKE,2011Q2,2011-05-31,분기별 영업활동현금흐름,842000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/ ; https://www.sec.gov/Archives/edgar/data/320187/000119312511090259/,누적 1812000000 − 직전누적 970000000 (시작 2010-06-01),10
NIKE,NKE,2011Q2,2011-05-31,분기말 자산총계,14998000000,USD,공시,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,,10
NIKE,NKE,2011Q2,2011-05-31,분기말 부채총계,5205000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/,부채및자본 14998000000 − 총자본 9793000000 ; 원 공시 5155000000 (https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/),10
NIKE,NKE,2011Q2,2011-05-31,분기말 총자본(자기자본),9793000000,USD,공시(비지배 없음)(재작성 반영),https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,"StockholdersEquity, MinorityInterest 태그 없음 ; 원 공시 9843000000 (https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/)",10
NIKE,NKE,2011Q2,2011-05-31,분기말 지배지분 자본,9793000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/,원 공시 9843000000 (https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/),10
NIKE,NKE,2011Q2,2011-05-31,분기말 종가,84.45,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NKE?interval=1d&events=splits (2011-05-31),분할조정 종가 21.1125 × 이후 분할계수 4,10
