기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Northrop Grumman,NOC,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),8610000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310039323/,6914000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),765000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310039323/,680000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),8826000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310069539/,7255000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),716000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310069539/,749000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),8714000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310096434/,7071000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),801000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012310096434/,723000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),8607000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/ ; https://www.sec.gov/Archives/edgar/data/1133421/000095012310096434/,6903000000,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/ ; https://www.sec.gov/Archives/edgar/data/1133421/000119312511281569/,8
Northrop Grumman,NOC,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),788000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/ ; https://www.sec.gov/Archives/edgar/data/1133421/000095012310096434/,675000000,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/ ; https://www.sec.gov/Archives/edgar/data/1133421/000119312511281569/,8
Northrop Grumman,NOC,2010Q4,2010-12-31,분기말 자산총계,재작성 반영,31421000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/,31410000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
Northrop Grumman,NOC,2010Q4,2010-12-31,분기말 부채총계,재작성 반영,17864000000,공시,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/,17974000000,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/,8
