기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
ServiceNow,NOW,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,47624000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371514000207/,49661000,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371514000207/,5
ServiceNow,NOW,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,1425079000,공시,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/,1424752000,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/,5
ServiceNow,NOW,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,996404000,공시,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/,996077000,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/,5
ServiceNow,NOW,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,79588000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1373715/000137371515000199/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371515000122/,80185000,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000394/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371515000122/,5
ServiceNow,NOW,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,63065000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1373715/000137371515000260/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371515000199/,63649000,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000394/,5
ServiceNow,NOW,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,105072000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371515000260/,106554000,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000058/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,5
ServiceNow,NOW,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,-23603000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,17037000,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,5
ServiceNow,NOW,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,-32589000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,4966000,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,5
ServiceNow,NOW,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,132687000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,131847000,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/ ; https://www.sec.gov/Archives/edgar/data/1373715/000137371516000426/,5
ServiceNow,NOW,2016Q4,2016-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),2033767000,공시,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/,,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/,5
