기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
NRG Energy,NRG,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),2215000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310046942/,1995000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),258000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310046942/,314000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2010Q1,2010-03-31,분기별 당기순이익(지배),재분류(미반영),58000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310046942/,-260000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),2133000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310077137/,2278000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),444000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310077137/,269000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2010Q2,2010-06-30,분기별 당기순이익(지배),재분류(미반영),211000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000095012310077137/,621000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,26715000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000144530512000493/,26900000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,18797000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000144530512000493/,18982000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,16
NRG Energy,NRG,2012Q4,2012-12-31,분기별 당기순이익(지배),재작성 반영,516000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/ ; https://www.sec.gov/Archives/edgar/data/1013871/000101387112000013/,252000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/ ; https://www.sec.gov/Archives/edgar/data/1013871/000101387112000013/,16
NRG Energy,NRG,2012Q4,2012-12-31,분기말 자산총계,재작성 반영,35128000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,34983000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/,16
NRG Energy,NRG,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,24346000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,24465000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/,16
NRG Energy,NRG,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 반영,10533000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,10269000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387116000022/,16
NRG Energy,NRG,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 반영,10015000000,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/1013871/000101387113000003/,9751000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387116000022/,16
NRG Energy,NRG,2013Q1,2013-03-31,분기별 영업이익,재작성 반영,-259000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000006/,-266000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/,16
NRG Energy,NRG,2013Q1,2013-03-31,분기별 당기순이익(지배),재작성 반영,-328000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000006/,-334000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/,16
NRG Energy,NRG,2013Q2,2013-06-30,분기별 영업이익,재작성 반영,295000000,공시,https://www.sec.gov/Archives/edgar/data/1013871/000101387113000010/,287000000,https://www.sec.gov/Archives/edgar/data/1013871/000101387114000019/,16
