기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Norfolk Southern,NSC,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),33241000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,8
Norfolk Southern,NSC,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),20833000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,8
Norfolk Southern,NSC,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),12408000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/,8
Norfolk Southern,NSC,2015Q1,2015-03-31,분기별 영업활동현금흐름,재작성 반영,605000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216515000045/,631000000,https://www.sec.gov/Archives/edgar/data/702165/000070216516000232/,8
Norfolk Southern,NSC,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,868000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/702165/000070216515000075/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216515000045/,870000000,https://www.sec.gov/Archives/edgar/data/702165/000070216516000284/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216516000232/,8
Norfolk Southern,NSC,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,706000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/702165/000070216515000113/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216515000075/,707000000,https://www.sec.gov/Archives/edgar/data/702165/000070216516000307/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216516000284/,8
Norfolk Southern,NSC,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,698000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216515000113/,700000000,https://www.sec.gov/Archives/edgar/data/702165/000070216518000011/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216516000307/,8
Norfolk Southern,NSC,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,34260000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/,34139000000,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/,8
Norfolk Southern,NSC,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,22072000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/,21951000000,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/,8
Norfolk Southern,NSC,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,761000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216516000307/,696000000,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216516000307/,8
Norfolk Southern,NSC,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,773000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216517000043/,757000000,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/,8
Norfolk Southern,NSC,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,888000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216517000067/,872000000,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/,8
Norfolk Southern,NSC,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,911000000,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216517000089/,895000000,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/,8
Norfolk Southern,NSC,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,1014000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/702165/000070216518000011/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216517000089/,998000000,https://www.sec.gov/Archives/edgar/data/702165/000070216520000011/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216518000057/,8
