기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Norfolk Southern,NSC,2010Q1,2010-03-31,분기별 매출액,2238000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기별 영업이익,555000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기별 당기순이익(지배),257000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기별 영업활동현금흐름,758000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 자산총계,27730000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 부채총계,17166000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 총자본(자기자본),10564000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 지배지분 자본,10564000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 종가,55.89,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NSC?interval=1d&events=splits (2010-03-31),,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 상장주식수,370055972,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Norfolk Southern,NSC,2010Q1,2010-03-31,분기말 시가총액,20682428275,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NSC?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,종가 55.89 × 주식수 370055972,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기별 매출액,2430000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기별 영업이익,733000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기별 당기순이익(지배),392000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기별 영업활동현금흐름,624000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216510000075/,누적 1382000000 − 직전누적 758000000 (시작 2010-01-01),8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 자산총계,27633000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 부채총계,16872000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 총자본(자기자본),10761000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 지배지분 자본,10761000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 종가,53.05,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NSC?interval=1d&events=splits (2010-06-30),,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 상장주식수,368615496,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Norfolk Southern,NSC,2010Q2,2010-06-30,분기말 시가총액,19555052063,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NSC?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,종가 53.05 × 주식수 368615496,8
Norfolk Southern,NSC,2010Q3,2010-09-30,분기별 매출액,2456000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000163/,,8
Norfolk Southern,NSC,2010Q3,2010-09-30,분기별 영업이익,746000000,USD,공시,https://www.sec.gov/Archives/edgar/data/702165/000070216510000163/,,8
Norfolk Southern,NSC,2010Q3,2010-09-30,분기별 당기순이익(지배),445000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/702165/000070216510000163/,,8
Norfolk Southern,NSC,2010Q3,2010-09-30,분기별 영업활동현금흐름,746000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/702165/000070216510000163/ ; https://www.sec.gov/Archives/edgar/data/702165/000070216510000123/,누적 2128000000 − 직전누적 1382000000 (시작 2010-01-01),8
