기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
NetApp,NTAP,2010Q2,2010-07-30,분기별 매출액,재작성 반영,1137800000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000095012310085766/,1153700000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q2,2010-07-30,분기별 영업이익,재작성 반영,164200000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000095012310085766/,177600000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511239169/,12
NetApp,NTAP,2010Q2,2010-07-30,분기별 당기순이익(지배),재작성 반영,141800000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000095012310085766/,150700000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q3,2010-10-29,분기별 매출액,재작성 반영,1207400000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312510274568/,1251000000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q3,2010-10-29,분기별 영업이익,재작성 반영,197400000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312510274568/,212800000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511330462/,12
NetApp,NTAP,2010Q3,2010-10-29,분기별 당기순이익(지배),재작성 반영,164600000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312510274568/,175400000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q3,2010-10-29,분기별 영업활동현금흐름,재작성 반영,364700000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1002047/000119312510274568/ ; https://www.sec.gov/Archives/edgar/data/1002047/000095012310085766/,355800000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511330462/ ; https://www.sec.gov/Archives/edgar/data/1002047/000095012310085766/,12
NetApp,NTAP,2010Q4,2011-01-28,분기별 매출액,재작성 반영,1268100000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,1289600000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q4,2011-01-28,분기별 영업이익,재작성 반영,198600000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,221000000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/,12
NetApp,NTAP,2010Q4,2011-01-28,분기별 당기순이익(지배),재작성 반영,172500000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,186400000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/,12
NetApp,NTAP,2010Q4,2011-01-28,분기별 영업활동현금흐름,재작성 반영,363500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312510274568/,354400000,https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312511330462/,12
NetApp,NTAP,2011Q1,2011-04-29,분기별 매출액,재작성 반영,1509300000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,1428300000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/,12
NetApp,NTAP,2011Q1,2011-04-29,분기별 영업이익,재작성 반영,264100000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,212900000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/,12
NetApp,NTAP,2011Q1,2011-04-29,분기별 당기순이익(지배),재작성 반영,194200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,160600000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/,12
NetApp,NTAP,2011Q1,2011-04-29,분기별 영업활동현금흐름,재작성 반영,440800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312511056223/,458800000,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/ ; https://www.sec.gov/Archives/edgar/data/1002047/000119312512096831/,12
NetApp,NTAP,2014Q1,2014-04-25,분기말 자산총계,재작성 반영,9219200000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312514239169/,9213800000,https://www.sec.gov/Archives/edgar/data/1002047/000156459015005051/,12
NetApp,NTAP,2014Q1,2014-04-25,분기말 부채총계,재작성 반영,5432700000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000119312514239169/,5427300000,https://www.sec.gov/Archives/edgar/data/1002047/000156459015005051/,12
NetApp,NTAP,2017Q1,2017-04-28,분기별 영업이익,재작성 반영,247000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/ ; https://www.sec.gov/Archives/edgar/data/1002047/000156459017002845/,203000000,https://www.sec.gov/Archives/edgar/data/1002047/000156459019022779/ ; https://www.sec.gov/Archives/edgar/data/1002047/000156459017002845/,12
NetApp,NTAP,2017Q1,2017-04-28,분기별 당기순이익(지배),재작성 반영,190000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/ ; https://www.sec.gov/Archives/edgar/data/1002047/000156459017002845/,162000000,https://www.sec.gov/Archives/edgar/data/1002047/000156459019022779/ ; https://www.sec.gov/Archives/edgar/data/1002047/000156459017002845/,12
NetApp,NTAP,2017Q1,2017-04-28,분기말 자산총계,재작성 검증 실패(원 공시 유지),9493000000,공시,https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/,,https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/,12
