기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Nucor,NUE,2010Q1,2010-04-03,분기별 매출액,3654842000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000073309: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000073309: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
Nucor,NUE,2010Q1,2010-04-03,분기별 당기순이익(지배),30964000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기별 영업활동현금흐름,-3037000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기말 자산총계,12802702000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기말 부채총계,5293360000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기말 총자본(자기자본),7509342000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-03,분기말 지배지분 자본,7305636000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,,10
Nucor,NUE,2010Q1,2010-04-01,분기말 종가,45.95,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NUE?interval=1d&events=splits (2010-04-01),,10
Nucor,NUE,2010Q1,2010-04-03,분기말 상장주식수,315125260,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Nucor,NUE,2010Q1,2010-04-01,분기말 시가총액,14480005697,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NUE?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,종가 45.95 × 주식수 315125260,10
Nucor,NUE,2010Q2,2010-07-03,분기별 매출액,4195966000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/,,10
Nucor,NUE,2010Q2,2010-07-03,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000073309: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000073309: OperatingIncomeLoss 태그 없음(영업이익 미공시),,10
Nucor,NUE,2010Q2,2010-07-03,분기별 당기순이익(지배),90992000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/,,10
Nucor,NUE,2010Q2,2010-07-03,분기별 영업활동현금흐름,-290722000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/ ; https://www.sec.gov/Archives/edgar/data/73309/000119312510116028/,누적 -293759000 − 직전누적 -3037000 (시작 2010-01-01),10
Nucor,NUE,2010Q2,2010-07-03,분기말 자산총계,12688180000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/,,10
Nucor,NUE,2010Q2,2010-07-03,분기말 부채총계,5233073000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/,,10
Nucor,NUE,2010Q2,2010-07-03,분기말 총자본(자기자본),7455107000,USD,공시,https://www.sec.gov/Archives/edgar/data/73309/000119312510186127/,,10
