기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
NVR,NVR,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000906163: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000906163: OperatingIncomeLoss 태그 없음(영업이익 미공시),,23
NVR,NVR,2010Q1,2010-03-31,분기별 당기순이익(지배),32087000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/906163/000095012311043785/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,23
NVR,NVR,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012310042506/,,23
NVR,NVR,2010Q1,2010-03-31,분기말 종가,726.5,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NVR?interval=1d&events=splits (2010-03-31),,23
NVR,NVR,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,23
NVR,NVR,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,23
NVR,NVR,2010Q2,2010-06-30,분기별 매출액,964504000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/906163/000095012311074182/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-08-08 제출본의 비교기간에서 읽었다,23
NVR,NVR,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000906163: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000906163: OperatingIncomeLoss 태그 없음(영업이익 미공시),,23
NVR,NVR,2010Q2,2010-06-30,분기별 당기순이익(지배),71276000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,,23
NVR,NVR,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,,23
NVR,NVR,2010Q2,2010-06-30,분기말 자산총계,2359435000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,,23
NVR,NVR,2010Q2,2010-06-30,분기말 부채총계,543969000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,,23
NVR,NVR,2010Q2,2010-06-30,분기말 총자본(자기자본),1815466000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,"StockholdersEquity, MinorityInterest 태그 없음",23
NVR,NVR,2010Q2,2010-06-30,분기말 지배지분 자본,1815466000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,,23
NVR,NVR,2010Q2,2010-06-30,분기말 종가,655.03,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NVR?interval=1d&events=splits (2010-06-30),,23
NVR,NVR,2010Q2,2010-07-28,분기말 상장주식수,5849824,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
NVR,NVR,2010Q2,2010-06-30,분기말 시가총액,3831810215,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NVR?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,종가 655.03 × 주식수 5849824,23
NVR,NVR,2010Q3,2010-09-30,분기별 매출액,676169000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/906163/000119312511286412/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-10-28 제출본의 비교기간에서 읽었다,23
NVR,NVR,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000906163: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000906163: OperatingIncomeLoss 태그 없음(영업이익 미공시),,23
NVR,NVR,2010Q3,2010-09-30,분기별 당기순이익(지배),43944000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,,23
NVR,NVR,2010Q3,2010-09-30,분기별 영업활동현금흐름,-19293000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/ ; https://www.sec.gov/Archives/edgar/data/906163/000095012310071166/,누적 -85599000 − 직전누적 -66306000 (시작 2010-01-01),23
NVR,NVR,2010Q3,2010-09-30,분기말 자산총계,2249819000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,,23
NVR,NVR,2010Q3,2010-09-30,분기말 부채총계,563141000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,,23
NVR,NVR,2010Q3,2010-09-30,분기말 총자본(자기자본),1686678000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,"StockholdersEquity, MinorityInterest 태그 없음",23
NVR,NVR,2010Q3,2010-09-30,분기말 지배지분 자본,1686678000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,,23
NVR,NVR,2010Q3,2010-09-30,분기말 종가,647.53,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/NVR?interval=1d&events=splits (2010-09-30),,23
NVR,NVR,2010Q3,2010-10-29,분기말 상장주식수,5639662,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
NVR,NVR,2010Q3,2010-09-30,분기말 시가총액,3651850335,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/NVR?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,종가 647.53 × 주식수 5639662,23
NVR,NVR,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/,,23
NVR,NVR,2010Q4,2010-12-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000906163: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000906163: OperatingIncomeLoss 태그 없음(영업이익 미공시),,23
NVR,NVR,2010Q4,2010-12-31,분기별 당기순이익(지배),58698000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/ ; https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,연간 206005000 − 9개월누적 147307000 (NetIncomeLoss),23
NVR,NVR,2010Q4,2010-12-31,분기별 영업활동현금흐름,140987000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/ ; https://www.sec.gov/Archives/edgar/data/906163/000095012310100067/,누적 55388000 − 직전누적 -85599000 (시작 2010-01-01),23
NVR,NVR,2010Q4,2010-12-31,분기말 자산총계,2260061000,USD,공시,https://www.sec.gov/Archives/edgar/data/906163/000095012311018386/,,23
