기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
News Corp,NWSA,2014Q2,2014-06-30,분기별 매출액,재분류(미반영),2186000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1564708/000119312514309269/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312514191043/,2098000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312514191043/,23
News Corp,NWSA,2014Q2,2014-06-30,분기별 영업활동현금흐름,재분류(미반영),51000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1564708/000119312514309269/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312514191043/,226000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312514191043/,23
News Corp,NWSA,2014Q3,2014-09-30,분기별 매출액,재분류(미반영),2150000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312514399701/,2108000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312515369166/,23
News Corp,NWSA,2014Q3,2014-09-30,분기별 당기순이익(지배),재분류(미반영),65000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312514399701/,175000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/,23
News Corp,NWSA,2014Q3,2014-09-30,분기별 영업활동현금흐름,재분류(미반영),183000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312514399701/,220000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312515369166/,23
News Corp,NWSA,2014Q4,2014-12-31,분기별 매출액,재분류(미반영),2280000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312515036310/,2258000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516451408/,23
News Corp,NWSA,2014Q4,2014-12-31,분기별 당기순이익(지배),재분류(미반영),143000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312515036310/,63000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/,23
News Corp,NWSA,2014Q4,2014-12-31,분기별 영업활동현금흐름,재분류(미반영),309000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1564708/000119312515036310/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312514399701/,324000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516451408/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312515369166/,23
News Corp,NWSA,2015Q1,2015-03-31,분기별 당기순이익(지배),재분류(미반영),23000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312515173207/,-149000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/,23
News Corp,NWSA,2015Q1,2015-03-31,분기별 영업활동현금흐름,재분류(미반영),210000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1564708/000119312515173207/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312515036310/,282000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516580872/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312516451408/,23
News Corp,NWSA,2015Q2,2015-06-30,분기별 매출액,재분류(미반영),2141000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1564708/000119312515288946/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312515173207/,2032000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312515173207/,23
News Corp,NWSA,2015Q2,2015-06-30,분기별 영업활동현금흐름,재분류(미반영),129000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1564708/000119312515288946/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312515173207/,162000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312517257248/ ; https://www.sec.gov/Archives/edgar/data/1564708/000119312516580872/,23
News Corp,NWSA,2015Q2,2015-06-30,분기말 자산총계,재작성 반영,15093000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312515288946/,15035000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/,23
News Corp,NWSA,2015Q2,2015-06-30,분기말 부채총계,재작성 반영,2977000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1564708/000119312515288946/,2919000000,https://www.sec.gov/Archives/edgar/data/1564708/000119312516679975/,23
News Corp,NWSA,2018Q3,2018-09-30,분기별 매출액,재작성 반영,12000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000119312518321775/,2524000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470820000022/,23
News Corp,NWSA,2023Q2,2023-06-30,분기별 매출액,재분류(미반영),2433000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1564708/000156470823000368/ ; https://www.sec.gov/Archives/edgar/data/1564708/000156470823000190/,566000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000419/ ; https://www.sec.gov/Archives/edgar/data/1564708/000156470823000190/,23
News Corp,NWSA,2023Q3,2023-09-30,분기별 매출액,재분류(미반영),2499000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000156470823000547/,2031000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000419/,23
News Corp,NWSA,2023Q4,2023-12-31,분기별 매출액,재분류(미반영),2586000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000156470824000070/,2135000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000419/,23
News Corp,NWSA,2024Q1,2024-03-31,분기별 매출액,재분류(미반영),2423000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000156470824000249/,1994000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000419/,23
News Corp,NWSA,2024Q2,2024-06-30,분기별 매출액,재분류(미반영),2577000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1564708/000156470824000408/ ; https://www.sec.gov/Archives/edgar/data/1564708/000156470824000249/,2092000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470826000175/ ; https://www.sec.gov/Archives/edgar/data/1564708/000156470825000255/,23
News Corp,NWSA,2024Q3,2024-09-30,분기별 매출액,재분류(미반영),2577000000,공시,https://www.sec.gov/Archives/edgar/data/1564708/000156470824000599/,2096000000,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000573/,23
