기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기별 영업이익,16375000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/878927/000119312511132019/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-09 제출본의 비교기간에서 읽었다,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기별 당기순이익(지배),7701000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/878927/000119312511132019/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-09 제출본의 비교기간에서 읽었다,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510112782/,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 종가,33.39,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ODFL?interval=1d&events=splits (2010-03-31),분할조정 종가 4.9467 × 이후 분할계수 6.75,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Old Dominion Freight Line,ODFL,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기별 영업이익,40011000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기별 당기순이익(지배),21513000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 자산총계,1202881000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 부채총계,580667000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 총자본(자기자본),622214000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,"StockholdersEquity, MinorityInterest 태그 없음",12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 지배지분 자본,622214000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 종가,35.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ODFL?interval=1d&events=splits (2010-06-30),분할조정 종가 5.2059 × 이후 분할계수 6.75,12
Old Dominion Freight Line,ODFL,2010Q2,2010-08-06,분기말 상장주식수,37284675,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Old Dominion Freight Line,ODFL,2010Q2,2010-06-30,분기말 시가총액,1310183480,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ODFL?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,종가 35.14 × 주식수 37284675,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기별 영업이익,43384000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기별 당기순이익(지배),24381000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기별 영업활동현금흐름,40985000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/ ; https://www.sec.gov/Archives/edgar/data/878927/000119312510180556/,누적 110165000 − 직전누적 69180000 (시작 2010-01-01),12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 자산총계,1219081000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 부채총계,572488000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 총자본(자기자본),646593000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,"StockholdersEquity, MinorityInterest 태그 없음",12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 지배지분 자본,646593000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 종가,25.42,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ODFL?interval=1d&events=splits (2010-09-30),분할조정 종가 5.6489 × 이후 분할계수 4.5,12
Old Dominion Freight Line,ODFL,2010Q3,2010-11-08,분기말 상장주식수,55926945,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Old Dominion Freight Line,ODFL,2010Q3,2010-09-30,분기말 시가총액,1421662942,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ODFL?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,종가 25.42 × 주식수 55926945,12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/,,12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기별 영업이익,37969000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/ ; https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,연간 137739000 − 9개월누적 99770000 (OperatingIncomeLoss),12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기별 당기순이익(지배),22056000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/ ; https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,연간 75651000 − 9개월누적 53595000 (NetIncomeLoss),12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기별 영업활동현금흐름,30357000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/878927/000087892713000012/ ; https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/,누적 140522000 − 직전누적 110165000 (시작 2010-01-01) ; 원 공시 30911000 (https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/ ; https://www.sec.gov/Archives/edgar/data/878927/000119312510251879/),12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기말 자산총계,1239881000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/,,12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기말 부채총계,571232000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/,,12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기말 총자본(자기자본),668649000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/,"StockholdersEquity, MinorityInterest 태그 없음",12
Old Dominion Freight Line,ODFL,2010Q4,2010-12-31,분기말 지배지분 자본,668649000,USD,공시,https://www.sec.gov/Archives/edgar/data/878927/000119312511049846/,,12
