기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Omnicom Group,OMC,2010Q1,2010-03-31,분기별 매출액,2920000000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기별 영업이익,291000000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기별 당기순이익(지배),163400000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기별 영업활동현금흐름,-277900000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 자산총계,16829500000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 부채총계,12664600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,부채및자본 16829500000 − 총자본 4164900000,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 총자본(자기자본),4164900000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 지배지분 자본,3921800000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 종가,38.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/OMC?interval=1d&events=splits (2010-03-31),,16
Omnicom Group,OMC,2010Q1,2010-04-15,분기말 상장주식수,306954000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
Omnicom Group,OMC,2010Q1,2010-03-31,분기말 시가총액,11912884740,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/OMC?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,종가 38.81 × 주식수 306954000,16
Omnicom Group,OMC,2010Q2,2010-06-30,분기별 매출액,3041200000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210002996/,,16
Omnicom Group,OMC,2010Q2,2010-06-30,분기별 영업이익,415400000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210002996/,,16
Omnicom Group,OMC,2010Q2,2010-06-30,분기별 당기순이익(지배),243300000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210002996/,,16
Omnicom Group,OMC,2010Q2,2010-06-30,분기별 영업활동현금흐름,107300000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29989/000089109210002996/ ; https://www.sec.gov/Archives/edgar/data/29989/000089109210001599/,누적 -170600000 − 직전누적 -277900000 (시작 2010-01-01),16
Omnicom Group,OMC,2010Q2,2010-06-30,분기말 자산총계,16329200000,USD,공시,https://www.sec.gov/Archives/edgar/data/29989/000089109210002996/,,16
