기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
ON Semiconductor,ON,2011Q1,2011-04-01,분기별 당기순이익(지배),재작성 반영,74800000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312511130227/,35500000,https://www.sec.gov/Archives/edgar/data/1097864/000119312512209140/,14
ON Semiconductor,ON,2011Q2,2011-07-01,분기별 당기순이익(지배),재작성 반영,41000000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312511212828/,34300000,https://www.sec.gov/Archives/edgar/data/1097864/000119312512332540/,14
ON Semiconductor,ON,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,-42500000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/ ; https://www.sec.gov/Archives/edgar/data/1097864/000109786411000003/,-8800000,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/ ; https://www.sec.gov/Archives/edgar/data/1097864/000119312512447177/,14
ON Semiconductor,ON,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),3883500000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,14
ON Semiconductor,ON,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),2390000000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,14
ON Semiconductor,ON,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1493500000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,14
ON Semiconductor,ON,2011Q4,2011-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1468200000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기별 영업이익,재작성 반영,-131400000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/ ; https://www.sec.gov/Archives/edgar/data/1097864/000119312512447177/,-135400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/ ; https://www.sec.gov/Archives/edgar/data/1097864/000119312512447177/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기별 당기순이익(지배),재작성 반영,-138200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/ ; https://www.sec.gov/Archives/edgar/data/1097864/000119312512447177/,-144800000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/ ; https://www.sec.gov/Archives/edgar/data/1097864/000119312512447177/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),3328400000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1937700000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1390700000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,14
ON Semiconductor,ON,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1361100000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/,14
ON Semiconductor,ON,2013Q1,2013-03-29,분기별 당기순이익(지배),재작성 반영,22600000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513196669/,16100000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/,14
ON Semiconductor,ON,2013Q2,2013-06-28,분기별 당기순이익(지배),재작성 반영,47700000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513315514/,45800000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/,14
ON Semiconductor,ON,2013Q3,2013-09-27,분기별 당기순이익(지배),재작성 반영,51800000,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312513421325/,50700000,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/,14
