기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
ON Semiconductor,ON,2010Q1,2010-04-02,분기별 매출액,550200000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1097864/000119312511130227/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-05-06 제출본의 비교기간에서 읽었다,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기별 영업이익,84200000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1097864/000119312511130227/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-06 제출본의 비교기간에서 읽었다,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기별 당기순이익(지배),63000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1097864/000119312511130227/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-06 제출본의 비교기간에서 읽었다,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1097864/000119312510109274/,,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1097864/000119312510109274/,,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1097864/000119312510109274/,,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1097864/000119312510109274/,,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1097864/000119312510109274/,,14
ON Semiconductor,ON,2010Q1,2010-04-01,분기말 종가,8.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ON?interval=1d&events=splits (2010-04-01),,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
ON Semiconductor,ON,2010Q1,2010-04-02,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기별 매출액,583300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기별 영업이익,101500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기별 당기순이익(지배),78700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기말 자산총계,2541000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기말 부채총계,1341700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기말 총자본(자기자본),1199300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기말 지배지분 자본,1178100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,,14
ON Semiconductor,ON,2010Q2,2010-07-02,분기말 종가,6.31,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ON?interval=1d&events=splits (2010-07-02),,14
ON Semiconductor,ON,2010Q2,2010-07-30,분기말 상장주식수,431124817,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1097864/000119312510179445/,dei:EntityCommonStockSharesOutstanding 클래스 합,14
