기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기별 매출액,1280067000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기별 영업이익,168445000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기별 당기순이익(지배),97476000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기별 영업활동현금흐름,170646000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 자산총계,4837865000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 부채총계,2037547000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,부채및자본 4837865000 − 총자본 2800318000,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 총자본(자기자본),2800318000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,"StockholdersEquity, MinorityInterest 태그 없음",9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 지배지분 자본,2800318000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 종가,41.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ORLY?interval=1d&events=splits (2010-03-31),분할조정 종가 2.7807 × 이후 분할계수 15,9
O'Reilly Automotive,ORLY,2010Q1,2010-05-03,분기말 상장주식수,138121280,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
O'Reilly Automotive,ORLY,2010Q1,2010-03-31,분기말 시가총액,5761038589,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ORLY?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,종가 41.71 × 주식수 138121280,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기별 매출액,1381241000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기별 영업이익,181164000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기별 당기순이익(지배),99595000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기별 영업활동현금흐름,185097000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/ ; https://www.sec.gov/Archives/edgar/data/898173/000119312510113014/,누적 355743000 − 직전누적 170646000 (시작 2010-01-01),9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기말 자산총계,4916519000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기말 부채총계,1986067000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,부채및자본 4916519000 − 총자본 2930452000,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기말 총자본(자기자본),2930452000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,"StockholdersEquity, MinorityInterest 태그 없음",9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기말 지배지분 자본,2930452000,USD,공시,https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,,9
O'Reilly Automotive,ORLY,2010Q2,2010-06-30,분기말 종가,47.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ORLY?interval=1d&events=splits (2010-06-30),분할조정 종가 3.1707 × 이후 분할계수 15,9
O'Reilly Automotive,ORLY,2010Q2,2010-08-02,분기말 상장주식수,138761127,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/898173/000119312510179031/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
