기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Occidental Petroleum,OXY,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),4771000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746810000039/,4616000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000037/,10
Occidental Petroleum,OXY,2010Q1,2010-03-31,분기별 영업활동현금흐름,재분류(미반영),2210000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746810000039/,2227000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000037/,10
Occidental Petroleum,OXY,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),4761000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746810000098/,4603000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000081/,10
Occidental Petroleum,OXY,2010Q2,2010-06-30,분기별 영업활동현금흐름,재분류(미반영),2067000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746810000098/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746810000039/,2094000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000081/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746811000037/,10
Occidental Petroleum,OXY,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),4896000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746810000115/,4763000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000098/,10
Occidental Petroleum,OXY,2010Q3,2010-09-30,분기별 영업활동현금흐름,재분류(미반영),2330000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746810000115/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746810000098/,2423000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000098/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746811000081/,10
Occidental Petroleum,OXY,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),4617000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746811000026/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746810000115/,5063000000,https://www.sec.gov/Archives/edgar/data/797468/000079746811000026/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746811000098/,10
Occidental Petroleum,OXY,2010Q4,2010-12-31,분기별 영업활동현금흐름,재분류(미반영),2742000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746811000026/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746810000115/,2822000000,https://www.sec.gov/Archives/edgar/data/797468/000079746813000011/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746811000098/,10
Occidental Petroleum,OXY,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),6171000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746813000011/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746812000086/,2099000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746812000086/,10
Occidental Petroleum,OXY,2012Q4,2012-12-31,분기별 영업활동현금흐름,재분류(미반영),2813000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746813000011/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746812000086/,2800000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746812000086/,10
Occidental Petroleum,OXY,2013Q4,2013-12-31,분기별 매출액,재분류(미반영),6172000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746814000011/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746813000106/,1887000000,https://www.sec.gov/Archives/edgar/data/797468/000079746816000017/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746813000106/,10
Occidental Petroleum,OXY,2013Q4,2013-12-31,분기별 영업활동현금흐름,재분류(미반영),3141000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746814000011/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746813000106/,2992000000,https://www.sec.gov/Archives/edgar/data/797468/000079746816000017/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746813000106/,10
Occidental Petroleum,OXY,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),6088000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000144530514001808/,4968000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000006/,10
Occidental Petroleum,OXY,2014Q2,2014-06-30,분기별 매출액,재분류(미반영),6275000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746814000073/,5133000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000012/,10
Occidental Petroleum,OXY,2014Q3,2014-09-30,분기별 매출액,재분류(미반영),5996000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746814000079/,4904000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000014/,10
Occidental Petroleum,OXY,2014Q4,2014-12-31,분기별 매출액,재분류(미반영),953000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746814000079/,4307000000,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746815000014/,10
Occidental Petroleum,OXY,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),56259000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,10
Occidental Petroleum,OXY,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),21300000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,10
Occidental Petroleum,OXY,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),34959000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,,https://www.sec.gov/Archives/edgar/data/797468/000079746815000003/,10
Occidental Petroleum,OXY,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,43437000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746816000017/,43409000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/,10
Occidental Petroleum,OXY,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,19087000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/797468/000079746816000017/,19059000000,https://www.sec.gov/Archives/edgar/data/797468/000079746817000003/,10
Occidental Petroleum,OXY,2016Q4,2016-12-31,분기별 영업활동현금흐름,재분류(미반영),915000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746817000003/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746816000039/,916000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746816000039/,10
Occidental Petroleum,OXY,2017Q1,2017-03-31,분기별 영업활동현금흐름,재분류(미반영),652000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746817000007/,505000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/,10
Occidental Petroleum,OXY,2017Q2,2017-06-30,분기별 영업활동현금흐름,재분류(미반영),1853000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746817000019/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746817000007/,1849000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/,10
Occidental Petroleum,OXY,2017Q3,2017-09-30,분기별 영업활동현금흐름,재분류(미반영),1070000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/797468/000079746817000025/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746817000019/,1086000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/,10
Occidental Petroleum,OXY,2018Q1,2018-03-31,분기별 매출액,재작성 반영,3763000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/,3694000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/,10
Occidental Petroleum,OXY,2018Q3,2018-09-30,분기별 매출액,재분류(미반영),5216000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,4257000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/,10
Occidental Petroleum,OXY,2018Q3,2018-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),21493000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,10
Occidental Petroleum,OXY,2018Q3,2018-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),21489000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,10
Occidental Petroleum,OXY,2018Q4,2018-12-31,분기별 매출액,재분류(미반영),2498000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,6011000000,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/,10
Occidental Petroleum,OXY,2018Q4,2018-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),43854000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,10
Occidental Petroleum,OXY,2018Q4,2018-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),22524000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,10
Occidental Petroleum,OXY,2018Q4,2018-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),21330000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/,10
Occidental Petroleum,OXY,2019Q1,2019-03-31,분기별 매출액,재분류(미반영),3435000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/,4004000000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/,10
Occidental Petroleum,OXY,2019Q3,2019-09-30,분기별 매출액,재분류(미반영),5231000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/,5859000000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000033/,10
Occidental Petroleum,OXY,2019Q4,2019-12-31,분기별 매출액,재분류(미반영),7996000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/,6628000000,https://www.sec.gov/Archives/edgar/data/797468/000079746822000008/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746820000033/,10
Occidental Petroleum,OXY,2019Q4,2019-12-31,분기말 자산총계,재작성 반영,109330000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/,107190000000,https://www.sec.gov/Archives/edgar/data/797468/000079746822000008/,10
Occidental Petroleum,OXY,2019Q4,2019-12-31,분기말 부채총계,재작성 반영,75098000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/,72958000000,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/,10
Occidental Petroleum,OXY,2020Q1,2020-03-31,분기별 매출액,재분류(미반영),6410000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/,6613000000,https://www.sec.gov/Archives/edgar/data/797468/000079746821000017/,10
Occidental Petroleum,OXY,2023Q4,2023-12-31,분기별 매출액,재분류(미반영),7172000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746824000034/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746823000092/,2071000000,https://www.sec.gov/Archives/edgar/data/797468/000162828026009059/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746823000092/,10
Occidental Petroleum,OXY,2024Q4,2024-12-31,분기별 매출액,재분류(미반영),6760000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/797468/000079746825000029/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746824000164/,2054000000,https://www.sec.gov/Archives/edgar/data/797468/000162828026009059/ ; https://www.sec.gov/Archives/edgar/data/797468/000079746824000164/,10
Occidental Petroleum,OXY,2025Q1,2025-03-31,분기별 매출액,재분류(미반영),6803000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746825000076/,5704000000,https://www.sec.gov/Archives/edgar/data/797468/000162828026030584/,10
Occidental Petroleum,OXY,2025Q2,2025-06-30,분기별 매출액,재분류(미반영),6414000000,공시,https://www.sec.gov/Archives/edgar/data/797468/000079746825000111/,5258000000,https://www.sec.gov/Archives/edgar/data/797468/000162828026053388/,10
Occidental Petroleum,OXY,2018Q3,2018-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),23464000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,23469000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/,10
