기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Everpure,P,2016Q1,2016-04-30,분기별 영업이익,재작성 반영,-63786000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000156459016020289/,-64650000,https://www.sec.gov/Archives/edgar/data/1474432/000162828017006263/,31
Everpure,P,2016Q1,2016-04-30,분기별 당기순이익(지배),재작성 반영,-63459000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000156459016020289/,-63788000,https://www.sec.gov/Archives/edgar/data/1474432/000162828017006263/,31
Everpure,P,2016Q4,2017-01-31,분기별 영업이익,재작성 반영,-42495000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828016022007/,-18961000,https://www.sec.gov/Archives/edgar/data/1474432/000162828019003437/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828016022007/,31
Everpure,P,2016Q4,2017-01-31,분기별 당기순이익(지배),재작성 반영,-42915000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828016022007/,-19381000,https://www.sec.gov/Archives/edgar/data/1474432/000162828019003437/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828016022007/,31
Everpure,P,2016Q4,2017-01-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),899745000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,31
Everpure,P,2016Q4,2017-01-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),421315000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,31
Everpure,P,2016Q4,2017-01-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),478430000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,31
Everpure,P,2017Q1,2017-04-30,분기별 매출액,재작성 반영,182631000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017006263/,182645000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018007756/,31
Everpure,P,2017Q1,2017-04-30,분기별 영업이익,재작성 반영,-63405000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017006263/,-58190000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018007756/,31
Everpure,P,2017Q1,2017-04-30,분기별 당기순이익(지배),재작성 반영,-62374000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017006263/,-57159000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018007756/,31
Everpure,P,2017Q2,2017-07-31,분기별 매출액,재작성 반영,224461000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017009061/,224670000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018011594/,31
Everpure,P,2017Q2,2017-07-31,분기별 영업이익,재작성 반영,-64146000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017009061/,-60856000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018011594/,31
Everpure,P,2017Q2,2017-07-31,분기별 당기순이익(지배),재작성 반영,-61701000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017009061/,-58411000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018011594/,31
Everpure,P,2017Q3,2017-10-31,분기별 영업이익,재작성 반영,-41817000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017012265/,-29572000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018014872/,31
Everpure,P,2017Q3,2017-10-31,분기별 당기순이익(지배),재작성 반영,-41649000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017012265/,-29404000,https://www.sec.gov/Archives/edgar/data/1474432/000162828018014872/,31
Everpure,P,2017Q4,2018-01-31,분기별 영업이익,재작성 반영,-15790000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828017012265/,-18816000,https://www.sec.gov/Archives/edgar/data/1474432/000162828020004133/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828018014872/,31
Everpure,P,2017Q4,2018-01-31,분기별 당기순이익(지배),재작성 반영,-11878000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828017012265/,-14904000,https://www.sec.gov/Archives/edgar/data/1474432/000162828020004133/ ; https://www.sec.gov/Archives/edgar/data/1474432/000162828018014872/,31
Everpure,P,2017Q4,2018-01-31,분기말 자산총계,재작성 반영,1079407000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/,1123995000,https://www.sec.gov/Archives/edgar/data/1474432/000162828019003437/,31
Everpure,P,2017Q4,2018-01-31,분기말 부채총계,재작성 반영,581501000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/,549594000,https://www.sec.gov/Archives/edgar/data/1474432/000162828019003437/,31
Everpure,P,2017Q4,2018-01-31,분기말 총자본(자기자본),재작성 반영,497906000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/,574401000,https://www.sec.gov/Archives/edgar/data/1474432/000162828021005538/,31
Everpure,P,2017Q4,2018-01-31,분기말 지배지분 자본,재작성 반영,497906000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828018003579/,574401000,https://www.sec.gov/Archives/edgar/data/1474432/000162828021005538/,31
Everpure,P,2016Q4,2017-01-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),478430000,공시,https://www.sec.gov/Archives/edgar/data/1474432/000162828017003034/,537201000,https://www.sec.gov/Archives/edgar/data/1474432/000162828020004133/,31
