기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
PG&E,PCG,2010Q1,2010-03-31,분기별 매출액,3475000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기별 영업이익,618000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기별 당기순이익(지배),261000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기별 영업활동현금흐름,395000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기말 자산총계,43540000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기말 부채총계,32919000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,부채및자본 43540000000 − 총자본 10621000000,13
PG&E,PCG,2010Q1,2010-03-31,분기말 총자본(자기자본),10621000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기말 지배지분 자본,10369000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,,13
PG&E,PCG,2010Q1,2010-03-31,분기말 종가,42.42,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PCG?interval=1d&events=splits (2010-03-31),,13
PG&E,PCG,2010Q1,2010-04-30,분기말 상장주식수,372345954,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
PG&E,PCG,2010Q1,2010-03-31,분기말 시가총액,15794915369,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PCG?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,종가 42.42 × 주식수 372345954,13
PG&E,PCG,2010Q2,2010-06-30,분기별 매출액,3232000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기별 영업이익,695000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기별 당기순이익(지배),337000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기별 영업활동현금흐름,978000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/ ; https://www.sec.gov/Archives/edgar/data/1004980/000100498010000047/,누적 1373000000 − 직전누적 395000000 (시작 2010-01-01),13
PG&E,PCG,2010Q2,2010-06-30,분기말 자산총계,44218000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기말 부채총계,33095000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,부채및자본 44218000000 − 총자본 11123000000,13
PG&E,PCG,2010Q2,2010-06-30,분기말 총자본(자기자본),11123000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기말 지배지분 자본,10871000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,,13
PG&E,PCG,2010Q2,2010-06-30,분기말 종가,41.1,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PCG?interval=1d&events=splits (2010-06-30),,13
PG&E,PCG,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
PG&E,PCG,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
PG&E,PCG,2010Q3,2010-09-30,분기별 매출액,3513000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기별 영업이익,503000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기별 당기순이익(지배),261000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기별 영업활동현금흐름,947000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/ ; https://www.sec.gov/Archives/edgar/data/1004980/000119312510177404/,누적 2320000000 − 직전누적 1373000000 (시작 2010-01-01),13
PG&E,PCG,2010Q3,2010-09-30,분기말 자산총계,45253000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기말 부채총계,33978000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,부채및자본 45253000000 − 총자본 11275000000,13
PG&E,PCG,2010Q3,2010-09-30,분기말 총자본(자기자본),11275000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기말 지배지분 자본,11023000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1004980/000119312510247854/,,13
PG&E,PCG,2010Q3,2010-09-30,분기말 종가,45.42,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PCG?interval=1d&events=splits (2010-09-30),,13
PG&E,PCG,2010Q3,2010-09-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
PG&E,PCG,2010Q3,2010-09-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
