기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Public Service Enterprise,PEG,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),3680000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510110439/,3573000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),934000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510110439/,946000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),2455000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510194981/,2361000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),437000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510194981/,431000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),3254000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510241339/,3114000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),1002000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312510241339/,971000000,https://www.sec.gov/Archives/edgar/data/788784/000119312512081813/,13
Public Service Enterprise,PEG,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),2404000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/ ; https://www.sec.gov/Archives/edgar/data/788784/000119312510241339/,2745000000,https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/ ; https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,13
Public Service Enterprise,PEG,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),564000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/ ; https://www.sec.gov/Archives/edgar/data/788784/000119312510241339/,589000000,https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/ ; https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,13
Public Service Enterprise,PEG,2011Q2,2011-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),28789000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,13
Public Service Enterprise,PEG,2011Q2,2011-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),18678000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,13
Public Service Enterprise,PEG,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),10111000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511208082/,13
Public Service Enterprise,PEG,2011Q3,2011-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),29911000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,13
Public Service Enterprise,PEG,2011Q3,2011-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),19750000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,13
Public Service Enterprise,PEG,2011Q3,2011-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),10161000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,,https://www.sec.gov/Archives/edgar/data/788784/000119312511290949/,13
Public Service Enterprise,PEG,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),32522000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,13
Public Service Enterprise,PEG,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),20913000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,13
Public Service Enterprise,PEG,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),11609000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/,13
Public Service Enterprise,PEG,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,35333000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878415000002/,35287000000,https://www.sec.gov/Archives/edgar/data/788784/000078878417000003/,13
Public Service Enterprise,PEG,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,23147000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/788784/000078878415000002/,23101000000,https://www.sec.gov/Archives/edgar/data/788784/000078878416000014/,13
Public Service Enterprise,PEG,2016Q4,2016-12-31,분기별 매출액,재작성 반영,2090000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000078878417000003/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,1995000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,13
Public Service Enterprise,PEG,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,-175000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000078878417000003/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,-153000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,13
Public Service Enterprise,PEG,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,550000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/788784/000078878417000003/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,552000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878416000038/,13
Public Service Enterprise,PEG,2017Q1,2017-03-31,분기별 매출액,재작성 반영,2592000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878417000007/,2591000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/,13
Public Service Enterprise,PEG,2017Q1,2017-03-31,분기별 영업활동현금흐름,재작성 반영,1196000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878417000007/,1197000000,https://www.sec.gov/Archives/edgar/data/788784/000078878418000007/,13
Public Service Enterprise,PEG,2017Q2,2017-06-30,분기별 매출액,재작성 반영,2133000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878417000019/,2142000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/,13
Public Service Enterprise,PEG,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,196000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878417000019/,195000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/,13
Public Service Enterprise,PEG,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,560000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/788784/000078878417000019/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878417000007/,558000000,https://www.sec.gov/Archives/edgar/data/788784/000078878418000022/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878418000007/,13
Public Service Enterprise,PEG,2017Q3,2017-09-30,분기별 매출액,재작성 반영,2263000000,공시,https://www.sec.gov/Archives/edgar/data/788784/000078878417000024/,2254000000,https://www.sec.gov/Archives/edgar/data/788784/000078878419000005/,13
Public Service Enterprise,PEG,2017Q4,2017-12-31,분기별 매출액,재작성 반영,2096000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000078878418000004/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878417000024/,2107000000,https://www.sec.gov/Archives/edgar/data/788784/000078878420000004/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878418000026/,13
Public Service Enterprise,PEG,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,362000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/788784/000078878418000004/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878417000024/,363000000,https://www.sec.gov/Archives/edgar/data/788784/000078878418000004/ ; https://www.sec.gov/Archives/edgar/data/788784/000078878418000026/,13
