기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
PepsiCo,PEP,2015Q4,2015-12-26,분기별 영업활동현금흐름,재작성 반영,3805000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747615000050/,4089000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747615000050/,4
PepsiCo,PEP,2016Q1,2016-03-19,분기별 영업활동현금흐름,재작성 반영,131000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747616000074/,305000000,https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/,4
PepsiCo,PEP,2016Q2,2016-06-11,분기별 영업활동현금흐름,재작성 반영,2790000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747616000094/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747616000074/,2802000000,https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/,4
PepsiCo,PEP,2016Q3,2016-09-03,분기별 영업활동현금흐름,재작성 반영,3674000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747616000107/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747616000094/,3717000000,https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/,4
PepsiCo,PEP,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,2381000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747616000107/,2400000000,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747616000107/,4
PepsiCo,PEP,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,3809000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747616000107/,3839000000,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/,4
PepsiCo,PEP,2016Q4,2016-12-31,분기말 자산총계,재작성 반영,74129000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/,73490000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/,4
PepsiCo,PEP,2016Q4,2016-12-31,분기말 부채총계,재작성 반영,62930000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/,62291000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/,4
PepsiCo,PEP,2017Q1,2017-03-25,분기별 영업이익,재작성 반영,1933000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/,1863000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000032/,4
PepsiCo,PEP,2017Q1,2017-03-25,분기별 영업활동현금흐름,재작성 반영,-199000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/,-193000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000032/,4
PepsiCo,PEP,2017Q2,2017-06-17,분기별 영업이익,재작성 반영,2990000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/,2919000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000055/,4
PepsiCo,PEP,2017Q2,2017-06-17,분기별 영업활동현금흐름,재작성 반영,2440000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000017/,2444000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000055/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747618000032/,4
PepsiCo,PEP,2017Q3,2017-09-09,분기별 영업이익,재작성 반영,2993000000,공시,https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/,2924000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000076/,4
PepsiCo,PEP,2017Q3,2017-09-09,분기별 영업활동현금흐름,재작성 반영,3821000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000033/,3836000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000076/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747618000055/,4
PepsiCo,PEP,2017Q4,2017-12-30,분기별 영업이익,재작성 반영,2593000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/,2570000000,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747618000076/,4
PepsiCo,PEP,2017Q4,2017-12-30,분기별 영업활동현금흐름,재작성 반영,3932000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747617000048/,3943000000,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/ ; https://www.sec.gov/Archives/edgar/data/77476/000007747618000076/,4
