기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
PepsiCo,PEP,2010Q1,2010-03-20,분기별 매출액,9368000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기별 영업이익,840000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기별 당기순이익(지배),1430000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기별 영업활동현금흐름,241000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기말 자산총계,64144000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기말 부채총계,42288000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,,4
PepsiCo,PEP,2010Q1,2010-03-20,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,자체 검증 실패: 총자본 21856000000 ≠ 지배 21686000000 + 비지배 275000000,4
PepsiCo,PEP,2010Q1,2010-03-20,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,자체 검증 실패: 총자본 21856000000 ≠ 지배 21686000000 + 비지배 275000000,4
PepsiCo,PEP,2010Q1,2010-03-19,분기말 종가,66.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-03-19),,4
PepsiCo,PEP,2010Q1,2010-04-16,분기말 상장주식수,1612718843,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
PepsiCo,PEP,2010Q1,2010-03-19,분기말 시가총액,107342566190,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-03-19) ; https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,종가 66.56 × 주식수 1612718843,4
PepsiCo,PEP,2010Q2,2010-06-12,분기별 매출액,14801000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,,4
PepsiCo,PEP,2010Q2,2010-06-12,분기별 영업이익,2461000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,,4
PepsiCo,PEP,2010Q2,2010-06-12,분기별 당기순이익(지배),1603000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,,4
PepsiCo,PEP,2010Q2,2010-06-12,분기별 영업활동현금흐름,2201000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/,누적 2442000000 − 직전누적 241000000 (시작 2009-12-27),4
PepsiCo,PEP,2010Q2,2010-06-12,분기말 자산총계,65074000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,,4
PepsiCo,PEP,2010Q2,2010-06-12,분기말 부채총계,45160000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,,4
PepsiCo,PEP,2010Q2,2010-06-12,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,자체 검증 실패: 총자본 19914000000 ≠ 지배 19732000000 + 비지배 288000000,4
PepsiCo,PEP,2010Q2,2010-06-12,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,자체 검증 실패: 총자본 19914000000 ≠ 지배 19732000000 + 비지배 288000000,4
PepsiCo,PEP,2010Q2,2010-06-11,분기말 종가,63.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-06-11),,4
PepsiCo,PEP,2010Q2,2010-07-09,분기말 상장주식수,1590933558,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
PepsiCo,PEP,2010Q2,2010-06-11,분기말 시가총액,101119736946,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-06-11) ; https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,종가 63.56 × 주식수 1590933558,4
PepsiCo,PEP,2010Q3,2010-09-04,분기별 매출액,15514000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,,4
PepsiCo,PEP,2010Q3,2010-09-04,분기별 영업이익,2800000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,,4
PepsiCo,PEP,2010Q3,2010-09-04,분기별 당기순이익(지배),1922000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,,4
PepsiCo,PEP,2010Q3,2010-09-04,분기별 영업활동현금흐름,3346000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510161855/,누적 5788000000 − 직전누적 2442000000 (시작 2009-12-27),4
PepsiCo,PEP,2010Q3,2010-09-04,분기말 자산총계,66702000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,,4
PepsiCo,PEP,2010Q3,2010-09-04,분기말 부채총계,46466000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,,4
PepsiCo,PEP,2010Q3,2010-09-04,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,자체 검증 실패: 총자본 20236000000 ≠ 지배 20045000000 + 비지배 298000000,4
PepsiCo,PEP,2010Q3,2010-09-04,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,자체 검증 실패: 총자본 20236000000 ≠ 지배 20045000000 + 비지배 298000000,4
PepsiCo,PEP,2010Q3,2010-09-03,분기말 종가,65.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-09-03),,4
PepsiCo,PEP,2010Q3,2010-10-01,분기말 상장주식수,1584840959,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
PepsiCo,PEP,2010Q3,2010-09-03,분기말 시가총액,103918021682,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-09-03) ; https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,종가 65.57 × 주식수 1584840959,4
PepsiCo,PEP,2010Q4,2010-12-25,분기별 매출액,18155000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,연간 57838000000 − 9개월누적 39683000000 (SalesRevenueNet),4
PepsiCo,PEP,2010Q4,2010-12-25,분기별 영업이익,2231000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,연간 8332000000 − 9개월누적 6101000000 (OperatingIncomeLoss),4
PepsiCo,PEP,2010Q4,2010-12-25,분기별 당기순이익(지배),1365000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,연간 6320000000 − 9개월누적 4955000000 (NetIncomeLoss),4
PepsiCo,PEP,2010Q4,2010-12-25,분기별 영업활동현금흐름,2660000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/ ; https://www.sec.gov/Archives/edgar/data/77476/000119312510225896/,누적 8448000000 − 직전누적 5788000000 (시작 2009-12-27),4
PepsiCo,PEP,2010Q4,2010-12-25,분기말 자산총계,68153000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,,4
PepsiCo,PEP,2010Q4,2010-12-25,분기말 부채총계,46677000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,,4
PepsiCo,PEP,2010Q4,2010-12-25,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,자체 검증 실패: 총자본 21476000000 ≠ 지배 21273000000 + 비지배 312000000,4
PepsiCo,PEP,2010Q4,2010-12-25,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,자체 검증 실패: 총자본 21476000000 ≠ 지배 21273000000 + 비지배 312000000,4
PepsiCo,PEP,2010Q4,2010-12-23,분기말 종가,65.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-12-23),,4
PepsiCo,PEP,2010Q4,2011-02-11,분기말 상장주식수,1586503366,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
PepsiCo,PEP,2010Q4,2010-12-23,분기말 시가총액,104217406113,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2010-12-23) ; https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/,종가 65.69 × 주식수 1586503366,4
PepsiCo,PEP,2011Q1,2011-03-19,분기별 매출액,11937000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기별 영업이익,1726000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기별 당기순이익(지배),1143000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기별 영업활동현금흐름,380000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기말 자산총계,73085000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기말 부채총계,49411000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,,4
PepsiCo,PEP,2011Q1,2011-03-19,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,자체 검증 실패: 총자본 23674000000 ≠ 지배 22096000000 + 비지배 1689000000,4
PepsiCo,PEP,2011Q1,2011-03-19,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,자체 검증 실패: 총자본 23674000000 ≠ 지배 22096000000 + 비지배 1689000000,4
PepsiCo,PEP,2011Q1,2011-03-18,분기말 종가,63.24,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2011-03-18),,4
PepsiCo,PEP,2011Q1,2011-04-21,분기말 상장주식수,1580653782,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
PepsiCo,PEP,2011Q1,2011-03-18,분기말 시가총액,99960545174,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PEP?interval=1d&events=splits (2011-03-18) ; https://www.sec.gov/Archives/edgar/data/77476/000119312511113679/,종가 63.24 × 주식수 1580653782,4
PepsiCo,PEP,2011Q2,2011-06-11,분기별 매출액,16827000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511193147/,,4
PepsiCo,PEP,2011Q2,2011-06-11,분기별 영업이익,2754000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511193147/,,4
PepsiCo,PEP,2011Q2,2011-06-11,분기별 당기순이익(지배),1885000000,USD,공시,https://www.sec.gov/Archives/edgar/data/77476/000119312511193147/,,4
