기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Parker-Hannifin,PH,2014Q2,2014-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),13274362000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,6
Parker-Hannifin,PH,2014Q2,2014-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),6611554000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,6
Parker-Hannifin,PH,2014Q2,2014-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6662808000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,,https://www.sec.gov/Archives/edgar/data/76334/000007633414000114/,6
Parker-Hannifin,PH,2015Q2,2015-06-30,분기별 영업활동현금흐름,재분류(미반영),510891000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633415000037/,572183000,https://www.sec.gov/Archives/edgar/data/76334/000007633417000095/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633415000037/,6
Parker-Hannifin,PH,2015Q2,2015-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),12295037000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,6
Parker-Hannifin,PH,2015Q2,2015-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),7187468000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,6
Parker-Hannifin,PH,2015Q2,2015-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),5107569000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,,https://www.sec.gov/Archives/edgar/data/76334/000007633415000079/,6
Parker-Hannifin,PH,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,4968000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633415000104/,19939000,https://www.sec.gov/Archives/edgar/data/76334/000007633416000220/,6
Parker-Hannifin,PH,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,341660000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/76334/000007633416000116/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633415000104/,326689000,https://www.sec.gov/Archives/edgar/data/76334/000007633416000116/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633416000220/,6
Parker-Hannifin,PH,2016Q1,2016-03-31,분기별 영업이익,재분류(미반영),391579000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633416000153/,349257000,https://www.sec.gov/Archives/edgar/data/76334/000007633417000053/,6
Parker-Hannifin,PH,2016Q1,2016-03-31,분기별 영업활동현금흐름,재분류(미반영),334871000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/76334/000007633416000153/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633416000116/,341919000,https://www.sec.gov/Archives/edgar/data/76334/000007633417000053/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633417000012/,6
Parker-Hannifin,PH,2016Q2,2016-06-30,분기별 영업이익,재분류(미반영),437318000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633416000153/,563901000,https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633417000053/,6
Parker-Hannifin,PH,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,488344000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633416000153/,529279000,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/ ; https://www.sec.gov/Archives/edgar/data/76334/000007633416000153/,6
Parker-Hannifin,PH,2016Q2,2016-06-30,분기말 자산총계,재작성 반영,12056738000,공시,https://www.sec.gov/Archives/edgar/data/76334/000007633416000196/,12034142000,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/,6
