기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
PulteGroup,PHM,2010Q1,2010-03-31,분기별 매출액,1020358000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/822416/000119312511115566/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-04-28 제출본의 비교기간에서 읽었다,16
PulteGroup,PHM,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000822416: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000822416: OperatingIncomeLoss 태그 없음(영업이익 미공시),,16
PulteGroup,PHM,2010Q1,2010-03-31,분기별 당기순이익(지배),-12488000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/822416/000119312511115566/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-28 제출본의 비교기간에서 읽었다,16
PulteGroup,PHM,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/822416/000119312510111120/,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/822416/000119312510111120/,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/822416/000119312510111120/,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/822416/000119312510111120/,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/822416/000119312510111120/,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 종가,11.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PHM?interval=1d&events=splits (2010-03-31),,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
PulteGroup,PHM,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기별 매출액,1305898000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000822416: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000822416: OperatingIncomeLoss 태그 없음(영업이익 미공시),,16
PulteGroup,PHM,2010Q2,2010-06-30,분기별 당기순이익(지배),76303000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/822416/000119312511203732/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 자산총계,9915496000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 부채총계,6633710000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 총자본(자기자본),3281786000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,"StockholdersEquity, MinorityInterest 태그 없음",16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 지배지분 자본,3281786000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,,16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 종가,8.28,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PHM?interval=1d&events=splits (2010-06-30),,16
PulteGroup,PHM,2010Q2,2010-07-31,분기말 상장주식수,382709085,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
PulteGroup,PHM,2010Q2,2010-06-30,분기말 시가총액,3168831224,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PHM?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/,종가 8.28 × 주식수 382709085,16
PulteGroup,PHM,2010Q3,2010-09-30,분기별 매출액,1057764000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,,16
PulteGroup,PHM,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000822416: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000822416: OperatingIncomeLoss 태그 없음(영업이익 미공시),,16
PulteGroup,PHM,2010Q3,2010-09-30,분기별 당기순이익(지배),-995116000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,,16
PulteGroup,PHM,2010Q3,2010-09-30,분기별 영업활동현금흐름,-51481000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/822416/000119312511286269/ ; https://www.sec.gov/Archives/edgar/data/822416/000119312511203732/,누적 798586000 − 직전누적 850067000 (시작 2010-01-01) ; 원 공시 -51467000 (https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/ ; https://www.sec.gov/Archives/edgar/data/822416/000119312510179323/),16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 자산총계,9092636000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,,16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 부채총계,6796213000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,,16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 총자본(자기자본),2296423000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,"StockholdersEquity, MinorityInterest 태그 없음",16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 지배지분 자본,2296423000,USD,공시,https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,,16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 종가,8.76,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PHM?interval=1d&events=splits (2010-09-30),,16
PulteGroup,PHM,2010Q3,2010-10-31,분기말 상장주식수,382228225,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
PulteGroup,PHM,2010Q3,2010-09-30,분기말 시가총액,3348319251,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PHM?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/822416/000119312510248979/,종가 8.76 × 주식수 382228225,16
