기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Philip Morris Intl,PM,2010Q1,2010-03-31,분기별 매출액,15587000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기별 영업이익,2715000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기별 당기순이익(지배),1703000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기별 영업활동현금흐름,1974000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,자체 검증 실패: 자산 34173000000 ≠ 부채 27808000000 + 총자본 5194000000 + 메자닌 0 (차이 1171000000),3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,자체 검증 실패: 자산 34173000000 ≠ 부채 27808000000 + 총자본 5194000000 + 메자닌 0 (차이 1171000000),3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,자체 검증 실패: 자산 34173000000 ≠ 부채 27808000000 + 총자본 5194000000 + 메자닌 0 (차이 1171000000),3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 지배지분 자본,4876000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 종가,52.16,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PM?interval=1d&events=splits (2010-03-31),,3
Philip Morris Intl,PM,2010Q1,2010-04-30,분기말 상장주식수,1851875537,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Philip Morris Intl,PM,2010Q1,2010-03-31,분기말 시가총액,96593828010,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PM?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1413329/000119312510112303/,종가 52.16 × 주식수 1851875537,3
Philip Morris Intl,PM,2010Q2,2010-06-30,분기별 매출액,17383000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510199061/,,3
Philip Morris Intl,PM,2010Q2,2010-06-30,분기별 영업이익,2906000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1413329/000119312510199061/,,3
