기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
PPG Industries,PPG,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),3517000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/79879/000119312512064763/ ; https://www.sec.gov/Archives/edgar/data/79879/000119312511288218/,1785000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/ ; https://www.sec.gov/Archives/edgar/data/79879/000119312511288218/,16
PPG Industries,PPG,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),389000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/79879/000119312512064763/ ; https://www.sec.gov/Archives/edgar/data/79879/000119312511288218/,19000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/ ; https://www.sec.gov/Archives/edgar/data/79879/000119312511288218/,16
PPG Industries,PPG,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),3752000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000119312512194978/,3333000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/,16
PPG Industries,PPG,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),543000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000119312512194978/,443000000,https://www.sec.gov/Archives/edgar/data/79879/000007987913000033/,16
PPG Industries,PPG,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),3955000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000119312512322176/,3528000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/,16
PPG Industries,PPG,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),635000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000119312512322176/,512000000,https://www.sec.gov/Archives/edgar/data/79879/000007987913000058/,16
PPG Industries,PPG,2012Q3,2012-09-30,분기별 매출액,재분류(미반영),3845000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987912000018/,3408000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/,16
PPG Industries,PPG,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),3648000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/79879/000007987913000016/ ; https://www.sec.gov/Archives/edgar/data/79879/000007987912000018/,3243000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/ ; https://www.sec.gov/Archives/edgar/data/79879/000007987913000058/,16
PPG Industries,PPG,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),478000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/79879/000007987913000016/ ; https://www.sec.gov/Archives/edgar/data/79879/000007987912000018/,145000000,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/ ; https://www.sec.gov/Archives/edgar/data/79879/000007987913000058/,16
PPG Industries,PPG,2013Q1,2013-03-31,분기별 매출액,재분류(미반영),3331000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987913000033/,3108000000,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/,16
PPG Industries,PPG,2013Q1,2013-03-31,분기별 영업이익,재분류(미반영),474000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987913000033/,395000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000032/,16
PPG Industries,PPG,2013Q2,2013-06-30,분기별 매출액,재분류(미반영),4095000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987913000047/,3883000000,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/,16
PPG Industries,PPG,2013Q2,2013-06-30,분기별 영업이익,재분류(미반영),619000000,공시,https://www.sec.gov/Archives/edgar/data/79879/000007987913000047/,550000000,https://www.sec.gov/Archives/edgar/data/79879/000007987914000054/,16
