기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
PPL,PPL,2010Q1,2010-03-31,분기별 매출액,3033000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기별 영업이익,492000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기별 당기순이익(지배),250000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기별 영업활동현금흐름,798000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기말 자산총계,24935000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기말 부채총계,18724000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,부채및자본 24935000000 − 총자본 6211000000,15
PPL,PPL,2010Q1,2010-03-31,분기말 총자본(자기자본),6211000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기말 지배지분 자본,5892000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,,15
PPL,PPL,2010Q1,2010-03-31,분기말 종가,27.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PPL?interval=1d&events=splits (2010-03-31),분할조정 종가 25.8091 × 이후 분할계수 1.07365,15
PPL,PPL,2010Q1,2010-04-30,분기말 상장주식수,378596962,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
PPL,PPL,2010Q1,2010-03-31,분기말 시가총액,10490921817,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PPL?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,종가 27.71 × 주식수 378596962,15
PPL,PPL,2010Q2,2010-06-30,분기별 매출액,1503000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기별 영업이익,238000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기별 당기순이익(지배),85000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기별 영업활동현금흐름,-226000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/ ; https://www.sec.gov/Archives/edgar/data/922224/000092222410000046/,누적 572000000 − 직전누적 798000000 (시작 2010-01-01),15
PPL,PPL,2010Q2,2010-06-30,분기말 자산총계,25913000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기말 부채총계,17708000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,부채및자본 25913000000 − 총자본 8205000000,15
PPL,PPL,2010Q2,2010-06-30,분기말 총자본(자기자본),8205000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기말 지배지분 자본,7937000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,,15
PPL,PPL,2010Q2,2010-06-30,분기말 종가,24.95,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PPL?interval=1d&events=splits (2010-06-30),분할조정 종가 23.2384 × 이후 분할계수 1.07365,15
PPL,PPL,2010Q2,2010-07-30,분기말 상장주식수,482723432,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
PPL,PPL,2010Q2,2010-06-30,분기말 시가총액,12043949628,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PPL?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,종가 24.95 × 주식수 482723432,15
PPL,PPL,2010Q3,2010-09-30,분기별 매출액,2179000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000124/,,15
PPL,PPL,2010Q3,2010-09-30,분기별 영업이익,522000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000124/,,15
PPL,PPL,2010Q3,2010-09-30,분기별 당기순이익(지배),248000000,USD,공시,https://www.sec.gov/Archives/edgar/data/922224/000092222410000124/,,15
PPL,PPL,2010Q3,2010-09-30,분기별 영업활동현금흐름,1124000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/922224/000092222410000124/ ; https://www.sec.gov/Archives/edgar/data/922224/000092222410000091/,누적 1696000000 − 직전누적 572000000 (시작 2010-01-01),15
