기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Quanta Services,PWR,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),54507000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,42315000,https://www.sec.gov/Archives/edgar/data/1050915/000119312513087221/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,6
Quanta Services,PWR,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),92888000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000119312512088822/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012311096452/,70047000,https://www.sec.gov/Archives/edgar/data/1050915/000119312514079763/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012311096452/,6
Quanta Services,PWR,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),79475000,공시,https://www.sec.gov/Archives/edgar/data/1050915/000119312512221254/,78791000,https://www.sec.gov/Archives/edgar/data/1050915/000119312513206743/,6
Quanta Services,PWR,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),111147000,공시,https://www.sec.gov/Archives/edgar/data/1050915/000119312512344072/,98345000,https://www.sec.gov/Archives/edgar/data/1050915/000119312513328613/,6
Quanta Services,PWR,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),145654000,공시,https://www.sec.gov/Archives/edgar/data/1050915/000119312512457556/,127133000,https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,6
Quanta Services,PWR,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),128846000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000119312513087221/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312512457556/,160853000,https://www.sec.gov/Archives/edgar/data/1050915/000119312513087221/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,6
Quanta Services,PWR,2013Q4,2013-12-31,분기별 영업이익,재분류(미반영),149385000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000119312514079763/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,98456000,https://www.sec.gov/Archives/edgar/data/1050915/000119312516485494/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,6
Quanta Services,PWR,2013Q4,2013-12-31,분기별 영업활동현금흐름,재분류(미반영),201492000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000119312514079763/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,125458000,https://www.sec.gov/Archives/edgar/data/1050915/000119312516485494/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312513435250/,6
Quanta Services,PWR,2014Q2,2014-06-30,분기별 영업이익,재분류(미반영),133393000,공시,https://www.sec.gov/Archives/edgar/data/1050915/000119312514303240/,120797000,https://www.sec.gov/Archives/edgar/data/1050915/000119312515284664/,6
Quanta Services,PWR,2014Q2,2014-06-30,분기별 영업활동현금흐름,재분류(미반영),32756000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000119312514303240/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312514190173/,3146000,https://www.sec.gov/Archives/edgar/data/1050915/000119312515284664/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312514190173/,6
Quanta Services,PWR,2014Q3,2014-09-30,분기별 영업이익,재분류(미반영),142912000,공시,https://www.sec.gov/Archives/edgar/data/1050915/000119312514399068/,131284000,https://www.sec.gov/Archives/edgar/data/1050915/000119312515370391/,6
Quanta Services,PWR,2014Q3,2014-09-30,분기별 영업활동현금흐름,재분류(미반영),65300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000119312514399068/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312514303240/,50348000,https://www.sec.gov/Archives/edgar/data/1050915/000119312515370391/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312515284664/,6
Quanta Services,PWR,2014Q4,2014-12-31,분기별 영업이익,재분류(미반영),108775000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312514399068/,97647000,https://www.sec.gov/Archives/edgar/data/1050915/000119312517064821/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312515370391/,6
Quanta Services,PWR,2014Q4,2014-12-31,분기별 영업활동현금흐름,재분류(미반영),273301000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312514399068/,254781000,https://www.sec.gov/Archives/edgar/data/1050915/000119312517064821/ ; https://www.sec.gov/Archives/edgar/data/1050915/000119312515370391/,6
