기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Quanta Services,PWR,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기별 영업이익,42290000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기별 당기순이익(지배),23744000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,3개월 연결 24100000 − 비지배 356000,6
Quanta Services,PWR,2010Q1,2010-03-31,분기별 영업활동현금흐름,3626000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 자산총계,4049152000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 부채총계,911118000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 총자본(자기자본),3138034000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 지배지분 자본,3136300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 종가,19.16,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-03-31),,6
Quanta Services,PWR,2010Q1,2010-05-03,분기말 상장주식수,210490611,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Quanta Services,PWR,2010Q1,2010-03-31,분기말 시가총액,4033000107,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,종가 19.16 × 주식수 210490611,6
Quanta Services,PWR,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1050915/000095012310085583/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기별 영업이익,64825000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기별 당기순이익(지배),32986000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,3개월 연결 33323000 − 비지배 337000,6
Quanta Services,PWR,2010Q2,2010-06-30,분기별 영업활동현금흐름,29749000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310047183/,누적 33375000 − 직전누적 3626000 (시작 2010-01-01),6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 자산총계,3960302000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 부채총계,793584000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 총자본(자기자본),3166718000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 지배지분 자본,3164647000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,,6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 종가,20.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-06-30),,6
Quanta Services,PWR,2010Q2,2010-08-02,분기말 상장주식수,210542636,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Quanta Services,PWR,2010Q2,2010-06-30,분기말 시가총액,4347705433,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,종가 20.65 × 주식수 210542636,6
Quanta Services,PWR,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기별 영업이익,94561000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기별 당기순이익(지배),62780000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,3개월 연결 63700000 − 비지배 920000,6
Quanta Services,PWR,2010Q3,2010-09-30,분기별 영업활동현금흐름,-54707000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310074910/,누적 -21332000 − 직전누적 33375000 (시작 2010-01-01),6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 자산총계,4130962000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 부채총계,892887000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 총자본(자기자본),3238075000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 지배지분 자본,3235084000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,,6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 종가,19.08,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-09-30),,6
Quanta Services,PWR,2010Q3,2010-11-02,분기말 상장주식수,211170379,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Quanta Services,PWR,2010Q3,2010-09-30,분기말 시가총액,4029130831,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,종가 19.08 × 주식수 211170379,6
Quanta Services,PWR,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,,6
Quanta Services,PWR,2010Q4,2010-12-31,분기별 영업이익,54507000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,연간 256183000 − 9개월누적 201676000 (OperatingIncomeLoss),6
Quanta Services,PWR,2010Q4,2010-12-31,분기별 당기순이익(지배),33666000,USD,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,연간 연결 155557000 − 비지배 2381000 − (9개월 연결 121123000 − 비지배 1613000),6
Quanta Services,PWR,2010Q4,2010-12-31,분기별 영업활동현금흐름,261590000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/ ; https://www.sec.gov/Archives/edgar/data/1050915/000095012310103127/,누적 240258000 − 직전누적 -21332000 (시작 2010-01-01),6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 자산총계,4341212000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,,6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 부채총계,974293000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,,6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 총자본(자기자본),3366919000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,,6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 지배지분 자본,3365555000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,,6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 종가,19.92,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-12-31),,6
Quanta Services,PWR,2010Q4,2011-02-18,분기말 상장주식수,211178865,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Quanta Services,PWR,2010Q4,2010-12-31,분기말 시가총액,4206682991,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/PWR?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/,종가 19.92 × 주식수 211178865,6
Quanta Services,PWR,2011Q1,2011-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1050915/000095012311046577/,,6
Quanta Services,PWR,2011Q1,2011-03-31,분기별 영업이익,-26916000,USD,공시,https://www.sec.gov/Archives/edgar/data/1050915/000095012311046577/,,6
