기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Regeneron Pharmaceuticals,REGN,2010Q3,2010-09-30,분기별 영업활동현금흐름,재작성 반영,160669000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000120677410002228/ ; https://www.sec.gov/Archives/edgar/data/872589/000120677410001689/,161501000,https://www.sec.gov/Archives/edgar/data/872589/000120677411002300/ ; https://www.sec.gov/Archives/edgar/data/872589/000120677411001639/,7
Regeneron Pharmaceuticals,REGN,2010Q4,2010-12-31,분기별 영업활동현금흐름,재작성 반영,-41699000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000120677411000263/ ; https://www.sec.gov/Archives/edgar/data/872589/000120677410002228/,-40851000,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/ ; https://www.sec.gov/Archives/edgar/data/872589/000120677411002300/,7
Regeneron Pharmaceuticals,REGN,2012Q1,2012-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1350159000,공시,https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,,https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,7
Regeneron Pharmaceuticals,REGN,2012Q1,2012-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),846135000,공시,https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,,https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,7
Regeneron Pharmaceuticals,REGN,2012Q1,2012-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),504024000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,,https://www.sec.gov/Archives/edgar/data/872589/000120677412001689/,7
Regeneron Pharmaceuticals,REGN,2012Q4,2012-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),2080490000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,7
Regeneron Pharmaceuticals,REGN,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),835105000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,7
Regeneron Pharmaceuticals,REGN,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1245385000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기별 영업이익,재작성 반영,212073000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,195095000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,96806000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,86182000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기별 영업활동현금흐름,재작성 반영,276781000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,281729000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217613000030/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),2951013000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),998937000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,7
Regeneron Pharmaceuticals,REGN,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1952076000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/,7
Regeneron Pharmaceuticals,REGN,2014Q1,2014-03-31,분기별 영업이익,재작성 반영,185939000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000022/,191562000,https://www.sec.gov/Archives/edgar/data/872589/000153217615000020/,7
Regeneron Pharmaceuticals,REGN,2014Q1,2014-03-31,분기별 당기순이익(지배),재작성 반영,65443000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000022/,68305000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/,7
Regeneron Pharmaceuticals,REGN,2014Q2,2014-06-30,분기별 영업이익,재작성 반영,222406000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000035/,228090000,https://www.sec.gov/Archives/edgar/data/872589/000153217615000029/,7
Regeneron Pharmaceuticals,REGN,2014Q2,2014-06-30,분기별 당기순이익(지배),재작성 반영,92735000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000035/,96351000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/,7
Regeneron Pharmaceuticals,REGN,2014Q2,2014-06-30,분기별 영업활동현금흐름,재작성 반영,327790000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000153217614000035/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000022/,336412000,https://www.sec.gov/Archives/edgar/data/872589/000153217615000029/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000022/,7
Regeneron Pharmaceuticals,REGN,2014Q3,2014-09-30,분기별 영업이익,재작성 반영,182719000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/,188464000,https://www.sec.gov/Archives/edgar/data/872589/000153217615000037/,7
Regeneron Pharmaceuticals,REGN,2014Q3,2014-09-30,분기별 당기순이익(지배),재작성 반영,79720000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/,83375000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/,7
Regeneron Pharmaceuticals,REGN,2014Q3,2014-09-30,분기별 영업활동현금흐름,재작성 반영,163557000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000035/,164321000,https://www.sec.gov/Archives/edgar/data/872589/000153217615000037/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217615000029/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기별 영업이익,재작성 반영,247367000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/,215803000,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217615000037/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기별 당기순이익(지배),재작성 반영,110176000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/,90095000,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217615000037/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,198283000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217614000046/,198175000,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/ ; https://www.sec.gov/Archives/edgar/data/872589/000153217615000037/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,3871827000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/,3837672000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,1329502000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/,1287421000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 반영,2542325000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/,2550251000,https://www.sec.gov/Archives/edgar/data/872589/000153217618000013/,7
Regeneron Pharmaceuticals,REGN,2014Q4,2014-12-31,분기말 지배지분 자본,재작성 반영,2542325000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/,2550251000,https://www.sec.gov/Archives/edgar/data/872589/000153217618000013/,7
Regeneron Pharmaceuticals,REGN,2015Q1,2015-03-31,분기별 영업활동현금흐름,재작성 반영,-87502000,공시,https://www.sec.gov/Archives/edgar/data/872589/000153217615000020/,-101727000,https://www.sec.gov/Archives/edgar/data/872589/000153217616000055/,7
