기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
ResMed,RMD,2015Q2,2015-06-30,분기말 자산총계,재작성 반영,2184260000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312515281887/,2181774000,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/,13
ResMed,RMD,2015Q2,2015-06-30,분기말 부채총계,재작성 반영,596953000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312515281887/,594467000,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/,13
ResMed,RMD,2015Q3,2015-09-30,분기별 당기순이익(지배),재작성 반영,80403000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312515354886/,82917000,https://www.sec.gov/Archives/edgar/data/943819/000119312516750066/,13
ResMed,RMD,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,122072000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312515354886/,124608000,https://www.sec.gov/Archives/edgar/data/943819/000119312516750066/,13
ResMed,RMD,2015Q4,2015-12-31,분기별 당기순이익(지배),재작성 반영,90517000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312516440418/,95576000,https://www.sec.gov/Archives/edgar/data/943819/000119312517017051/,13
ResMed,RMD,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,147440000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943819/000119312516440418/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312515354886/,155614000,https://www.sec.gov/Archives/edgar/data/943819/000119312517017051/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312516750066/,13
ResMed,RMD,2016Q1,2016-03-31,분기별 당기순이익(지배),재작성 반영,88458000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312516565229/,90791000,https://www.sec.gov/Archives/edgar/data/943819/000119312517145062/,13
ResMed,RMD,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,122149000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943819/000119312516565229/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312516440418/,124751000,https://www.sec.gov/Archives/edgar/data/943819/000119312517145062/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312517017051/,13
ResMed,RMD,2016Q2,2016-06-30,분기별 당기순이익(지배),재작성 반영,93032000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312516565229/,83126000,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312517145062/,13
ResMed,RMD,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,156272000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312516565229/,142960000,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/ ; https://www.sec.gov/Archives/edgar/data/943819/000119312517145062/,13
ResMed,RMD,2016Q2,2016-06-30,분기말 자산총계,재작성 반영,3258935000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/,3256705000,https://www.sec.gov/Archives/edgar/data/943819/000119312517248016/,13
ResMed,RMD,2016Q2,2016-06-30,분기말 부채총계,재작성 반영,1564104000,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/,1561874000,https://www.sec.gov/Archives/edgar/data/943819/000119312517248016/,13
ResMed,RMD,2018Q3,2018-09-30,분기별 당기순이익(지배),재작성 반영,105737000,공시,https://www.sec.gov/Archives/edgar/data/943819/000094381918000016/,105738000,https://www.sec.gov/Archives/edgar/data/943819/000094381920000008/,13
