기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
ResMed,RMD,2010Q1,2010-03-31,분기별 매출액,278659000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/943819/000119312511123186/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,13
ResMed,RMD,2010Q1,2010-03-31,분기별 영업이익,61179000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/943819/000119312511123186/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,13
ResMed,RMD,2010Q1,2010-03-31,분기별 당기순이익(지배),48834000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/943819/000119312511123186/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,13
ResMed,RMD,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510105302/,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510105302/,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510105302/,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510105302/,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510105302/,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 종가,63.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RMD?interval=1d&events=splits (2010-03-31),분할조정 종가 31.825 × 이후 분할계수 2,13
ResMed,RMD,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
ResMed,RMD,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
ResMed,RMD,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 종가,60.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RMD?interval=1d&events=splits (2010-06-30),분할조정 종가 30.405 × 이후 분할계수 2,13
ResMed,RMD,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
ResMed,RMD,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
ResMed,RMD,2010Q3,2010-09-30,분기별 매출액,282012000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
ResMed,RMD,2010Q3,2010-09-30,분기별 영업이익,66394000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
ResMed,RMD,2010Q3,2010-09-30,분기별 당기순이익(지배),56708000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
ResMed,RMD,2010Q3,2010-09-30,분기별 영업활동현금흐름,59143000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
ResMed,RMD,2010Q3,2010-09-30,분기말 자산총계,1792230000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
ResMed,RMD,2010Q3,2010-09-30,분기말 부채총계,315385000,USD,공시,https://www.sec.gov/Archives/edgar/data/943819/000119312510245458/,,13
