기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Rockwell Automation,ROK,2010Q1,2010-03-31,분기별 매출액,1164500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기별 당기순이익(지배),137000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기별 영업활동현금흐름,178500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/ ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310009905/,누적 297900000 − 직전누적 119400000 (시작 2009-10-01),11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 자산총계,4542200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 부채총계,3122900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,부채및자본 4542200000 − 총자본 1419300000,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 총자본(자기자본),1419300000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,"StockholdersEquity, MinorityInterest 태그 없음",11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 지배지분 자본,1419300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 종가,56.36,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROK?interval=1d&events=splits (2010-03-31),,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 상장주식수,142595043,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Rockwell Automation,ROK,2010Q1,2010-03-31,분기말 시가총액,8036656623,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROK?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,종가 56.36 × 주식수 142595043,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기별 매출액,1268100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기별 당기순이익(지배),119400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기별 영업활동현금흐름,135500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/ ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310044432/,누적 433400000 − 직전누적 297900000 (시작 2009-10-01),11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 자산총계,4614500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 부채총계,3238500000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,부채및자본 4614500000 − 총자본 1376000000,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 총자본(자기자본),1376000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,"StockholdersEquity, MinorityInterest 태그 없음",11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 지배지분 자본,1376000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 종가,49.09,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROK?interval=1d&events=splits (2010-06-30),,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 상장주식수,141857068,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Rockwell Automation,ROK,2010Q2,2010-06-30,분기말 시가총액,6963763468,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROK?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,종가 49.09 × 주식수 141857068,11
Rockwell Automation,ROK,2010Q3,2010-09-30,분기별 매출액,1356900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/ ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,연간 4857000000 − 9개월누적 3500100000 (SalesRevenueNet),11
Rockwell Automation,ROK,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/,,11
Rockwell Automation,ROK,2010Q3,2010-09-30,분기별 당기순이익(지배),131300000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/ ; https://www.sec.gov/Archives/edgar/data/1024478/000095012310073092/,연간 464300000 − 9개월누적 333000000 (NetIncomeLoss),11
