기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Rollins,ROL,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,852431000,공시,https://www.sec.gov/Archives/edgar/data/84839/000155278116001318/,848651000,https://www.sec.gov/Archives/edgar/data/84839/000117120017000077/,31
Rollins,ROL,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,328402000,공시,https://www.sec.gov/Archives/edgar/data/84839/000155278116001318/,324622000,https://www.sec.gov/Archives/edgar/data/84839/000117120017000077/,31
Rollins,ROL,2018Q4,2018-12-31,분기별 영업활동현금흐름,재분류(미반영),72998000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000117120019000087/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120018000227/,86127000,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120018000227/,31
Rollins,ROL,2019Q1,2019-03-31,분기별 영업활동현금흐름,재작성 반영,58615000,공시,https://www.sec.gov/Archives/edgar/data/84839/000117120019000188/,61422000,https://www.sec.gov/Archives/edgar/data/84839/000117120020000327/,31
Rollins,ROL,2019Q2,2019-06-30,분기별 영업활동현금흐름,재작성 반영,78328000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000117120019000278/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120019000188/,80754000,https://www.sec.gov/Archives/edgar/data/84839/000117120020000501/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120020000327/,31
Rollins,ROL,2019Q3,2019-09-30,분기별 영업활동현금흐름,재작성 반영,93375000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000117120019000357/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120019000278/,101714000,https://www.sec.gov/Archives/edgar/data/84839/000117120020000617/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120020000501/,31
Rollins,ROL,2019Q4,2019-12-31,분기별 영업활동현금흐름,재작성 반영,78870000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120019000357/,75683000,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120020000617/,31
Rollins,ROL,2019Q4,2019-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1744376000,공시,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,31
Rollins,ROL,2019Q4,2019-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),928626000,공시,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,31
Rollins,ROL,2019Q4,2019-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),815750000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/,31
Rollins,ROL,2020Q4,2020-12-31,분기별 당기순이익(지배),재분류(미반영),62619000,"계산(연간-3분기누적, 보통주 귀속)",https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120020000617/,68551000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000006/ ; https://www.sec.gov/Archives/edgar/data/84839/000117120020000617/,31
Rollins,ROL,2020Q4,2020-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1845900000,공시,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,31
Rollins,ROL,2020Q4,2020-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),904540000,공시,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,31
Rollins,ROL,2020Q4,2020-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),941360000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/,31
Rollins,ROL,2021Q4,2021-12-31,분기별 영업이익,재분류(미반영),91390000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/ ; https://www.sec.gov/Archives/edgar/data/84839/000008483922000059/,99037000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000025/ ; https://www.sec.gov/Archives/edgar/data/84839/000008483922000059/,31
Rollins,ROL,2021Q4,2021-12-31,분기별 당기순이익(지배),재분류(미반영),65337000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/ ; https://www.sec.gov/Archives/edgar/data/84839/000008483921000017/,71215000,https://www.sec.gov/Archives/edgar/data/84839/000008483924000025/ ; https://www.sec.gov/Archives/edgar/data/84839/000008483921000017/,31
Rollins,ROL,2021Q4,2021-12-31,분기말 자산총계,재작성 반영,1980870000,공시,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/,2021540000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000006/,31
Rollins,ROL,2021Q4,2021-12-31,분기말 부채총계,재작성 반영,898822000,공시,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/,910323000,https://www.sec.gov/Archives/edgar/data/84839/000008483923000006/,31
Rollins,ROL,2021Q4,2021-12-31,분기말 총자본(자기자본),재작성 반영,1082048000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/,1111217000,https://www.sec.gov/Archives/edgar/data/84839/000008483925000024/,31
Rollins,ROL,2021Q4,2021-12-31,분기말 지배지분 자본,재작성 반영,1082048000,공시,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/,1111217000,https://www.sec.gov/Archives/edgar/data/84839/000008483925000024/,31
