기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Rollins,ROL,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910023723/,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 종가,21.68,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-03-31),분할조정 종가 4.2825 × 이후 분할계수 5.0625,31
Rollins,ROL,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,31
Rollins,ROL,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,31
Rollins,ROL,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기별 당기순이익(지배),27700000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기말 자산총계,582407000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기말 부채총계,306837000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기말 총자본(자기자본),275570000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,,31
Rollins,ROL,2010Q2,2010-06-30,분기말 지배지분 자본,275570000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",31
Rollins,ROL,2010Q2,2010-06-30,분기말 종가,20.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-06-30),분할조정 종가 4.0869 × 이후 분할계수 5.0625,31
Rollins,ROL,2010Q2,2010-07-15,분기말 상장주식수,98559008,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,dei:EntityCommonStockSharesOutstanding 클래스 합,31
Rollins,ROL,2010Q2,2010-06-30,분기말 시가총액,2039185876,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,종가 20.69 × 주식수 98559008,31
Rollins,ROL,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기별 당기순이익(지배),25513000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기별 영업활동현금흐름,33382000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/ ; https://www.sec.gov/Archives/edgar/data/84839/000110465910040777/,누적 92419000 − 직전누적 59037000 (시작 2010-01-01),31
Rollins,ROL,2010Q3,2010-09-30,분기말 자산총계,607625000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기말 부채총계,321184000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기말 총자본(자기자본),286441000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,,31
Rollins,ROL,2010Q3,2010-09-30,분기말 지배지분 자본,286441000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",31
Rollins,ROL,2010Q3,2010-09-30,분기말 종가,23.38,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-09-30),분할조정 종가 4.6183 × 이후 분할계수 5.0625,31
Rollins,ROL,2010Q3,2010-10-15,분기말 상장주식수,98098201,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,dei:EntityCommonStockSharesOutstanding 클래스 합,31
Rollins,ROL,2010Q3,2010-09-30,분기말 시가총액,2293535939,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,종가 23.38 × 주식수 98098201,31
Rollins,ROL,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911011515/,,31
Rollins,ROL,2010Q4,2010-12-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911011515/,,31
Rollins,ROL,2010Q4,2010-12-31,분기별 당기순이익(지배),19206000,USD,"계산(연간-3분기누적, 비지배 없음)",https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/ ; https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,연간 90002000 − 9개월누적 70796000 (ProfitLoss),31
Rollins,ROL,2010Q4,2010-12-31,분기별 영업활동현금흐름,31634000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/ ; https://www.sec.gov/Archives/edgar/data/84839/000110465910054606/,누적 124053000 − 직전누적 92419000 (시작 2010-01-01),31
Rollins,ROL,2010Q4,2010-12-31,분기말 자산총계,619014000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,,31
Rollins,ROL,2010Q4,2010-12-31,분기말 부채총계,321044000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,,31
Rollins,ROL,2010Q4,2010-12-31,분기말 총자본(자기자본),297970000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,,31
Rollins,ROL,2010Q4,2010-12-31,분기말 지배지분 자본,297970000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",31
Rollins,ROL,2010Q4,2010-12-31,분기말 종가,19.75,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-12-31),분할조정 종가 5.8519 × 이후 분할계수 3.375,31
Rollins,ROL,2010Q4,2011-01-31,분기말 상장주식수,147629969,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,dei:EntityCommonStockSharesOutstanding 클래스 합,31
Rollins,ROL,2010Q4,2010-12-31,분기말 시가총액,2915691888,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/,종가 19.75 × 주식수 147629969,31
Rollins,ROL,2011Q1,2011-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기별 당기순이익(지배),18640000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기별 영업활동현금흐름,32954000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기말 자산총계,614205000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기말 부채총계,312985000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기말 총자본(자기자본),301220000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,,31
Rollins,ROL,2011Q1,2011-03-31,분기말 지배지분 자본,301220000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",31
Rollins,ROL,2011Q1,2011-03-31,분기말 종가,20.3,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2011-03-31),분할조정 종가 6.0148 × 이후 분할계수 3.375,31
Rollins,ROL,2011Q1,2011-04-15,분기말 상장주식수,147427771,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,dei:EntityCommonStockSharesOutstanding 클래스 합,31
Rollins,ROL,2011Q1,2011-03-31,분기말 시가총액,2992783751,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ROL?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,종가 20.3 × 주식수 147427771,31
Rollins,ROL,2011Q2,2011-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/,,31
Rollins,ROL,2011Q2,2011-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/,,31
Rollins,ROL,2011Q2,2011-06-30,분기별 당기순이익(지배),31061000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/,,31
Rollins,ROL,2011Q2,2011-06-30,분기별 영업활동현금흐름,41386000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/ ; https://www.sec.gov/Archives/edgar/data/84839/000110465911024010/,누적 74340000 − 직전누적 32954000 (시작 2011-01-01),31
Rollins,ROL,2011Q2,2011-06-30,분기말 자산총계,637132000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/,,31
Rollins,ROL,2011Q2,2011-06-30,분기말 부채총계,323949000,USD,공시,https://www.sec.gov/Archives/edgar/data/84839/000110465911041697/,,31
