기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Roper Technologies,ROP,2010Q3,2010-09-30,분기별 영업활동현금흐름,재작성 반영,139063000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882835/000088283510000038/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283510000027/,143609000,https://www.sec.gov/Archives/edgar/data/882835/000088283511000032/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283510000027/,12
Roper Technologies,ROP,2010Q4,2010-12-31,분기별 영업활동현금흐름,재작성 반영,155122000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882835/000088283511000004/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283510000038/,150576000,https://www.sec.gov/Archives/edgar/data/882835/000088283511000004/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283511000032/,12
Roper Technologies,ROP,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),8184981000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283514000011/,,https://www.sec.gov/Archives/edgar/data/882835/000095010314002971/,12
Roper Technologies,ROP,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3971931000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283514000011/,,https://www.sec.gov/Archives/edgar/data/882835/000095010314002971/,12
Roper Technologies,ROP,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),4213050000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283514000011/,,https://www.sec.gov/Archives/edgar/data/882835/000095010314002971/,12
Roper Technologies,ROP,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,8412934000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283515000009/,8400185000,https://www.sec.gov/Archives/edgar/data/882835/000088283517000006/,12
Roper Technologies,ROP,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,3657574000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283515000009/,3644825000,https://www.sec.gov/Archives/edgar/data/882835/000088283516000035/,12
Roper Technologies,ROP,2019Q4,2019-12-31,분기별 매출액,재분류(미반영),1394800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/882835/000088283520000006/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283519000050/,755700000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283519000050/,12
Roper Technologies,ROP,2019Q4,2019-12-31,분기별 영업이익,재분류(미반영),398400000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/882835/000088283520000006/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283519000050/,228300000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283519000050/,12
Roper Technologies,ROP,2020Q1,2020-03-31,분기별 매출액,재분류(미반영),1350700000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000012/,1182600000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q1,2020-03-31,분기별 영업이익,재분류(미반영),349200000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000012/,308400000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q2,2020-06-30,분기별 매출액,재분류(미반영),1305000000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000025/,1137800000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q2,2020-06-30,분기별 영업이익,재분류(미반영),333600000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000025/,291600000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q3,2020-09-30,분기별 매출액,재분류(미반영),1366100000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000033/,1198200000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q3,2020-09-30,분기별 영업이익,재분류(미반영),367600000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283520000033/,330500000,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/,12
Roper Technologies,ROP,2020Q4,2020-12-31,분기별 매출액,재분류(미반영),1505300000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/882835/000088283521000011/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283520000033/,503800000,https://www.sec.gov/Archives/edgar/data/882835/000088283523000016/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283521000067/,12
Roper Technologies,ROP,2020Q4,2020-12-31,분기별 영업이익,재분류(미반영),380700000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/882835/000088283521000011/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283520000033/,152400000,https://www.sec.gov/Archives/edgar/data/882835/000088283523000016/ ; https://www.sec.gov/Archives/edgar/data/882835/000088283521000067/,12
Roper Technologies,ROP,2021Q1,2021-03-31,분기별 매출액,재분류(미반영),1528600000,공시,https://www.sec.gov/Archives/edgar/data/882835/000088283521000018/,1155300000,https://www.sec.gov/Archives/edgar/data/882835/000088283523000016/,12
