기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Ross Stores,ROST,2014Q1,2014-05-03,분기말 자산총계,재작성 반영,4151594000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573214000011/,4151288000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000017/,8
Ross Stores,ROST,2014Q1,2014-05-03,분기말 부채총계,재작성 반영,2076316000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573214000011/,2076010000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000017/,8
Ross Stores,ROST,2014Q2,2014-08-02,분기말 자산총계,재작성 반영,4167832000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573214000016/,4167540000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000022/,8
Ross Stores,ROST,2014Q2,2014-08-02,분기말 부채총계,재작성 반영,2018505000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573214000016/,2018213000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000022/,8
Ross Stores,ROST,2014Q3,2014-11-01,분기말 자산총계,재작성 반영,4669242000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573214000020/,4666874000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000030/,8
Ross Stores,ROST,2014Q3,2014-11-01,분기말 부채총계,재작성 반영,2481946000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573214000020/,2479578000,https://www.sec.gov/Archives/edgar/data/745732/000074573215000030/,8
Ross Stores,ROST,2014Q4,2015-01-31,분기말 자산총계,재작성 반영,4703134000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573215000009/,4687370000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000037/,8
Ross Stores,ROST,2014Q4,2015-01-31,분기말 부채총계,재작성 반영,2423924000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573215000009/,2408160000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000037/,8
Ross Stores,ROST,2015Q1,2015-05-02,분기말 자산총계,재작성 반영,4936049000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573215000017/,4923459000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000055/,8
Ross Stores,ROST,2015Q1,2015-05-02,분기말 부채총계,재작성 반영,2602550000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573215000017/,2589960000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000055/,8
Ross Stores,ROST,2015Q2,2015-08-01,분기말 자산총계,재작성 반영,4824304000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573215000022/,4813572000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000059/,8
Ross Stores,ROST,2015Q2,2015-08-01,분기말 부채총계,재작성 반영,2437790000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573215000022/,2427058000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000059/,8
Ross Stores,ROST,2015Q3,2015-10-31,분기말 자산총계,재작성 반영,4903771000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573215000030/,4894585000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000066/,8
Ross Stores,ROST,2015Q3,2015-10-31,분기말 부채총계,재작성 반영,2509689000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/745732/000074573215000030/,2500503000,https://www.sec.gov/Archives/edgar/data/745732/000074573216000066/,8
Ross Stores,ROST,2016Q4,2017-01-28,분기별 영업활동현금흐름,재작성 반영,529623000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/745732/000074573217000009/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573216000066/,529673000,https://www.sec.gov/Archives/edgar/data/745732/000074573219000009/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573216000066/,8
Ross Stores,ROST,2017Q1,2017-04-29,분기별 영업활동현금흐름,재작성 반영,520838000,공시,https://www.sec.gov/Archives/edgar/data/745732/000074573217000026/,520861000,https://www.sec.gov/Archives/edgar/data/745732/000074573218000019/,8
Ross Stores,ROST,2017Q2,2017-07-29,분기별 영업활동현금흐름,재작성 반영,277092000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/745732/000074573217000030/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573217000026/,277098000,https://www.sec.gov/Archives/edgar/data/745732/000074573218000024/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573218000019/,8
Ross Stores,ROST,2017Q3,2017-10-28,분기별 영업활동현금흐름,재작성 반영,367703000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/745732/000074573217000034/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573217000030/,367727000,https://www.sec.gov/Archives/edgar/data/745732/000074573218000031/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573218000024/,8
Ross Stores,ROST,2017Q4,2018-02-03,분기별 영업활동현금흐름,재작성 반영,515645000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/745732/000074573218000004/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573217000034/,515652000,https://www.sec.gov/Archives/edgar/data/745732/000074573220000016/ ; https://www.sec.gov/Archives/edgar/data/745732/000074573218000031/,8
