기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Republic Services,RSG,2010Q1,2010-03-31,분기별 매출액,1957700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기별 영업이익,381300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기별 당기순이익(지배),65000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기별 영업활동현금흐름,299100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 자산총계,19465300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 부채총계,11896600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,부채및자본 19465300000 − 총자본 7568700000,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 총자본(자기자본),7568700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 지배지분 자본,7566600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 종가,29.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-03-31),,9
Republic Services,RSG,2010Q1,2010-04-23,분기말 상장주식수,381832028,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Republic Services,RSG,2010Q1,2010-03-31,분기말 시가총액,11080765453,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,종가 29.02 × 주식수 381832028,9
Republic Services,RSG,2010Q2,2010-06-30,분기별 매출액,2066400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기별 영업이익,400800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기별 당기순이익(지배),159700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기별 영업활동현금흐름,295700000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310040931/,누적 594800000 − 직전누적 299100000 (시작 2010-01-01),9
Republic Services,RSG,2010Q2,2010-06-30,분기말 자산총계,19571400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기말 부채총계,11885500000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,부채및자본 19571400000 − 총자본 7685900000,9
Republic Services,RSG,2010Q2,2010-06-30,분기말 총자본(자기자본),7685900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기말 지배지분 자본,7683600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,,9
Republic Services,RSG,2010Q2,2010-06-30,분기말 종가,29.73,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-06-30),,9
Republic Services,RSG,2010Q2,2010-07-22,분기말 상장주식수,383000147,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Republic Services,RSG,2010Q2,2010-06-30,분기말 시가총액,11386594370,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,종가 29.73 × 주식수 383000147,9
Republic Services,RSG,2010Q3,2010-09-30,분기별 매출액,2061700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기별 영업이익,367600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기별 당기순이익(지배),134200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기별 영업활동현금흐름,368900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310069945/,누적 963700000 − 직전누적 594800000 (시작 2010-01-01),9
Republic Services,RSG,2010Q3,2010-09-30,분기말 자산총계,19458000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기말 부채총계,11672000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,부채및자본 19458000000 − 총자본 7786000000,9
Republic Services,RSG,2010Q3,2010-09-30,분기말 총자본(자기자본),7786000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기말 지배지분 자본,7783900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,,9
Republic Services,RSG,2010Q3,2010-09-30,분기말 종가,30.49,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-09-30),,9
Republic Services,RSG,2010Q3,2010-10-29,분기말 상장주식수,384247498,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Republic Services,RSG,2010Q3,2010-09-30,분기말 시가총액,11715706214,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,종가 30.49 × 주식수 384247498,9
Republic Services,RSG,2010Q4,2010-12-31,분기별 매출액,2020800000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,연간 8106600000 − 9개월누적 6085800000 (SalesRevenueNet),9
Republic Services,RSG,2010Q4,2010-12-31,분기별 영업이익,389400000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,연간 1539100000 − 9개월누적 1149700000 (OperatingIncomeLoss),9
Republic Services,RSG,2010Q4,2010-12-31,분기별 당기순이익(지배),147600000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,연간 506500000 − 9개월누적 358900000 (NetIncomeLoss),9
Republic Services,RSG,2010Q4,2010-12-31,분기별 영업활동현금흐름,470000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/ ; https://www.sec.gov/Archives/edgar/data/1060391/000095012310101145/,누적 1433700000 − 직전누적 963700000 (시작 2010-01-01),9
Republic Services,RSG,2010Q4,2010-12-31,분기말 자산총계,19461900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,,9
Republic Services,RSG,2010Q4,2010-12-31,분기말 부채총계,11613000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,부채및자본 19461900000 − 총자본 7848900000,9
Republic Services,RSG,2010Q4,2010-12-31,분기말 총자본(자기자본),7848900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,,9
Republic Services,RSG,2010Q4,2010-12-31,분기말 지배지분 자본,7846500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,,9
Republic Services,RSG,2010Q4,2010-12-31,분기말 종가,29.86,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-12-31),,9
Republic Services,RSG,2010Q4,2011-02-10,분기말 상장주식수,384060682,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Republic Services,RSG,2010Q4,2010-12-31,분기말 시가총액,11468051965,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RSG?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/1060391/000095012311015710/,종가 29.86 × 주식수 384060682,9
Republic Services,RSG,2011Q1,2011-03-31,분기별 매출액,1964900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,,9
Republic Services,RSG,2011Q1,2011-03-31,분기별 영업이익,376200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,,9
Republic Services,RSG,2011Q1,2011-03-31,분기별 당기순이익(지배),158200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,,9
Republic Services,RSG,2011Q1,2011-03-31,분기별 영업활동현금흐름,433700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,,9
Republic Services,RSG,2011Q1,2011-03-31,분기말 자산총계,19396700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,,9
Republic Services,RSG,2011Q1,2011-03-31,분기말 부채총계,11599100000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1060391/000095012311041132/,부채및자본 19396700000 − 총자본 7797600000,9
