기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Revvity,RVTY,2010Q2,2010-07-04,분기별 매출액,재분류(미반영),497839000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,421613000,https://www.sec.gov/Archives/edgar/data/31791/000119312511217926/,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 영업이익,재분류(미반영),42621000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,34319000,https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 당기순이익(지배),재분류(미반영),57643000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,58549000,https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 영업이익,재분류(미반영),41417000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,42513000,https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 당기순이익(지배),재분류(미반영),13391000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,14290000,https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,24
Revvity,RVTY,2010Q4,2011-01-02,분기별 매출액,재분류(미반영),469970000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,467391000,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,24
Revvity,RVTY,2010Q4,2011-01-02,분기별 영업이익,재분류(미반영),48321000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,52288000,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,24
Revvity,RVTY,2010Q4,2011-01-02,분기별 당기순이익(지배),재분류(미반영),288494000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,295558000,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,24
Revvity,RVTY,2010Q4,2011-01-02,분기말 자산총계,재작성 반영,3209373000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/,3208946000,https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,24
Revvity,RVTY,2010Q4,2011-01-02,분기말 총자본(자기자본),재작성 반영,1925818000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/,1925391000,https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/,24
Revvity,RVTY,2010Q4,2011-01-02,분기말 지배지분 자본,재작성 반영,1925818000,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/,1925391000,https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/,24
