기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Revvity,RVTY,2010Q1,2010-04-04,분기별 매출액,393620000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2012-02-28 제출본의 비교기간에서 읽었다,24
Revvity,RVTY,2010Q1,2010-04-04,분기별 영업이익,30619000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/31791/000119312511134109/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-10 제출본의 비교기간에서 읽었다,24
Revvity,RVTY,2010Q1,2010-04-04,분기별 당기순이익(지배),24391000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/31791/000119312511134109/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-10 제출본의 비교기간에서 읽었다,24
Revvity,RVTY,2010Q1,2010-04-04,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/31791/000119312510118782/,,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/31791/000119312510118782/,,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/31791/000119312510118782/,,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/31791/000119312510118782/,,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/31791/000119312510118782/,,24
Revvity,RVTY,2010Q1,2010-04-01,분기말 종가,24.15,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RVTY?interval=1d&events=splits (2010-04-01),,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,24
Revvity,RVTY,2010Q1,2010-04-04,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 매출액,497839000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 영업이익,42621000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 당기순이익(지배),57643000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기말 자산총계,3146039000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기말 부채총계,1502347000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-04,분기말 총자본(자기자본),1643692000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,"StockholdersEquity, MinorityInterest 태그 없음",24
Revvity,RVTY,2010Q2,2010-07-04,분기말 지배지분 자본,1643692000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,,24
Revvity,RVTY,2010Q2,2010-07-02,분기말 종가,19.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RVTY?interval=1d&events=splits (2010-07-02),,24
Revvity,RVTY,2010Q2,2010-08-04,분기말 상장주식수,117912105,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,dei:EntityCommonStockSharesOutstanding 클래스 합,24
Revvity,RVTY,2010Q2,2010-07-02,분기말 시가총액,2316972863,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RVTY?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,종가 19.65 × 주식수 117912105,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 매출액,419143000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 영업이익,41417000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 당기순이익(지배),13391000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-03,분기별 영업활동현금흐름,15272000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510184667/,누적 135331000 − 직전누적 120059000 (시작 2010-01-04),24
Revvity,RVTY,2010Q3,2010-10-03,분기말 자산총계,3248011000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-03,분기말 부채총계,1540976000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-03,분기말 총자본(자기자본),1707035000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,"StockholdersEquity, MinorityInterest 태그 없음",24
Revvity,RVTY,2010Q3,2010-10-03,분기말 지배지분 자본,1707035000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,,24
Revvity,RVTY,2010Q3,2010-10-01,분기말 종가,23.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/RVTY?interval=1d&events=splits (2010-10-01),,24
Revvity,RVTY,2010Q3,2010-11-04,분기말 상장주식수,118044588,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,dei:EntityCommonStockSharesOutstanding 클래스 합,24
Revvity,RVTY,2010Q3,2010-10-01,분기말 시가총액,2717386416,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/RVTY?interval=1d&events=splits (2010-10-01) ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,종가 23.02 × 주식수 118044588,24
Revvity,RVTY,2010Q4,2011-01-02,분기별 매출액,469970000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,연간 1704346000 − 9개월누적 1234376000 (SalesRevenueNet),24
Revvity,RVTY,2010Q4,2011-01-02,분기별 영업이익,48321000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,연간 153601000 − 9개월누적 105280000 (OperatingIncomeLoss),24
Revvity,RVTY,2010Q4,2011-01-02,분기별 당기순이익(지배),288494000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,연간 383919000 − 9개월누적 95425000 (NetIncomeLoss),24
Revvity,RVTY,2010Q4,2011-01-02,분기별 영업활동현금흐름,28922000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/ ; https://www.sec.gov/Archives/edgar/data/31791/000119312510255731/,누적 164253000 − 직전누적 135331000 (시작 2010-01-04),24
Revvity,RVTY,2010Q4,2011-01-02,분기말 자산총계,3208946000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/31791/000144530512000499/,원 공시 3209373000 (https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/),24
Revvity,RVTY,2010Q4,2011-01-02,분기말 부채총계,1283555000,USD,공시,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/,,24
Revvity,RVTY,2010Q4,2011-01-02,분기말 총자본(자기자본),1925391000,USD,공시(비지배 없음)(재작성 반영),https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/,"StockholdersEquity, MinorityInterest 태그 없음 ; 원 공시 1925818000 (https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/)",24
