기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Starbucks,SBUX,2010Q1,2010-03-28,분기별 매출액,2534700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기별 영업이익,339800000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기별 당기순이익(지배),217300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기별 영업활동현금흐름,189100000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/ ; https://www.sec.gov/Archives/edgar/data/829224/000095012310007737/,누적 957800000 − 직전누적 768700000 (시작 2009-09-28),6
Starbucks,SBUX,2010Q1,2010-03-28,분기말 자산총계,6144700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기말 부채총계,2590000000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기말 총자본(자기자본),3554700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-28,분기말 지배지분 자본,3541000000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,,6
Starbucks,SBUX,2010Q1,2010-03-26,분기말 종가,24.59,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-03-26),분할조정 종가 12.295 × 이후 분할계수 2,6
Starbucks,SBUX,2010Q1,2010-04-26,분기말 상장주식수,745100000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2010Q1,2010-03-26,분기말 시가총액,18322009000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,종가 24.59 × 주식수 745100000,6
Starbucks,SBUX,2010Q2,2010-06-27,분기별 매출액,2612000000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기별 영업이익,327700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기별 당기순이익(지배),207900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기별 영업활동현금흐름,417600000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312510104825/,누적 1375400000 − 직전누적 957800000 (시작 2009-09-28),6
Starbucks,SBUX,2010Q2,2010-06-27,분기말 자산총계,6206900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기말 부채총계,2672300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기말 총자본(자기자본),3534600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-27,분기말 지배지분 자본,3520900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,,6
Starbucks,SBUX,2010Q2,2010-06-25,분기말 종가,26.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-06-25),분할조정 종가 13.405 × 이후 분할계수 2,6
Starbucks,SBUX,2010Q2,2010-07-26,분기말 상장주식수,740100000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2010Q2,2010-06-25,분기말 시가총액,19842081000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-06-25) ; https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,종가 26.81 × 주식수 740100000,6
Starbucks,SBUX,2010Q3,2010-10-03,분기별 매출액,2838000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,연간 10707400000 − 9개월누적 7869400000 (SalesRevenueNet),6
Starbucks,SBUX,2010Q3,2010-10-03,분기별 영업이익,399300000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,연간 1419400000 − 9개월누적 1020100000 (OperatingIncomeLoss),6
Starbucks,SBUX,2010Q3,2010-10-03,분기별 당기순이익(지배),278900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,연간 945600000 − 9개월누적 666700000 (NetIncomeLoss),6
Starbucks,SBUX,2010Q3,2010-10-03,분기별 영업활동현금흐름,329500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312510173723/,누적 1704900000 − 직전누적 1375400000 (시작 2009-09-28),6
Starbucks,SBUX,2010Q3,2010-10-03,분기말 자산총계,6385900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,,6
Starbucks,SBUX,2010Q3,2010-10-03,분기말 부채총계,2703600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,,6
Starbucks,SBUX,2010Q3,2010-10-03,분기말 총자본(자기자본),3682300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,,6
Starbucks,SBUX,2010Q3,2010-10-03,분기말 지배지분 자본,3674700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,,6
Starbucks,SBUX,2010Q3,2010-10-01,분기말 종가,25.94,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-10-01),분할조정 종가 12.97 × 이후 분할계수 2,6
Starbucks,SBUX,2010Q3,2010-11-12,분기말 상장주식수,741100000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2010Q3,2010-10-01,분기말 시가총액,19224134000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-10-01) ; https://www.sec.gov/Archives/edgar/data/829224/000119312510266333/,종가 25.94 × 주식수 741100000,6
Starbucks,SBUX,2010Q4,2011-01-02,분기별 매출액,2950800000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기별 영업이익,501900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기별 당기순이익(지배),346600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기별 영업활동현금흐름,673600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기말 자산총계,6931100000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기말 부채총계,2870800000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기말 총자본(자기자본),4060300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2011-01-02,분기말 지배지분 자본,4051700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,,6
Starbucks,SBUX,2010Q4,2010-12-31,분기말 종가,32.13,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-12-31),분할조정 종가 16.065 × 이후 분할계수 2,6
Starbucks,SBUX,2010Q4,2011-01-28,분기말 상장주식수,746000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2010Q4,2010-12-31,분기말 시가총액,23968980000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,종가 32.13 × 주식수 746000000,6
Starbucks,SBUX,2011Q1,2011-04-03,분기별 매출액,2785700000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기별 영업이익,376100000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기별 당기순이익(지배),261600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기별 영업활동현금흐름,-4100000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511024207/,누적 669500000 − 직전누적 673600000 (시작 2010-10-04),6
Starbucks,SBUX,2011Q1,2011-04-03,분기말 자산총계,7027600000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기말 부채총계,2700400000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기말 총자본(자기자본),4327200000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-03,분기말 지배지분 자본,4317800000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,,6
Starbucks,SBUX,2011Q1,2011-04-01,분기말 종가,37.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-04-01),분할조정 종가 18.625 × 이후 분할계수 2,6
Starbucks,SBUX,2011Q1,2011-04-29,분기말 상장주식수,749600000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2011Q1,2011-04-01,분기말 시가총액,27922600000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-04-01) ; https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,종가 37.25 × 주식수 749600000,6
Starbucks,SBUX,2011Q2,2011-07-03,분기별 매출액,2932200000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기별 영업이익,402200000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기별 당기순이익(지배),279100000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기별 영업활동현금흐름,457200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511130357/,누적 1126700000 − 직전누적 669500000 (시작 2010-10-04),6
Starbucks,SBUX,2011Q2,2011-07-03,분기말 자산총계,7097800000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기말 부채총계,2756300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기말 총자본(자기자본),4341500000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-03,분기말 지배지분 자본,4338900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,,6
Starbucks,SBUX,2011Q2,2011-07-01,분기말 종가,40.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-07-01),분할조정 종가 20.095 × 이후 분할계수 2,6
Starbucks,SBUX,2011Q2,2011-07-29,분기말 상장주식수,746100000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2011Q2,2011-07-01,분기말 시가총액,29985759000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-07-01) ; https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,종가 40.19 × 주식수 746100000,6
Starbucks,SBUX,2011Q3,2011-10-02,분기별 매출액,3031700000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,연간 11700400000 − 9개월누적 8668700000 (Revenues),6
Starbucks,SBUX,2011Q3,2011-10-02,분기별 영업이익,448200000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,연간 1728500000 − 9개월누적 1280300000 (OperatingIncomeLoss),6
Starbucks,SBUX,2011Q3,2011-10-02,분기별 당기순이익(지배),358300000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,연간 1245700000 − 9개월누적 887400000 (NetIncomeLoss),6
Starbucks,SBUX,2011Q3,2011-10-02,분기별 영업활동현금흐름,485700000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/ ; https://www.sec.gov/Archives/edgar/data/829224/000119312511212221/,누적 1612400000 − 직전누적 1126700000 (시작 2010-10-04),6
Starbucks,SBUX,2011Q3,2011-10-02,분기말 자산총계,7360400000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,,6
Starbucks,SBUX,2011Q3,2011-10-02,분기말 부채총계,2973100000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,,6
Starbucks,SBUX,2011Q3,2011-10-02,분기말 총자본(자기자본),4387300000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,,6
Starbucks,SBUX,2011Q3,2011-10-02,분기말 지배지분 자본,4384900000,USD,공시,https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,,6
Starbucks,SBUX,2011Q3,2011-09-30,분기말 종가,37.29,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-09-30),분할조정 종가 18.645 × 이후 분할계수 2,6
Starbucks,SBUX,2011Q3,2011-11-11,분기말 상장주식수,745400000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Starbucks,SBUX,2011Q3,2011-09-30,분기말 시가총액,27795966000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SBUX?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/829224/000119312511317175/,종가 37.29 × 주식수 745400000,6
