기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Sherwin-Williams,SHW,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,5706052000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980015000004/,5699333000,https://www.sec.gov/Archives/edgar/data/89800/000008980017000005/,8
Sherwin-Williams,SHW,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4709582000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000008980015000004/,4702863000,https://www.sec.gov/Archives/edgar/data/89800/000008980017000005/,8
Sherwin-Williams,SHW,2015Q1,2015-03-31,분기말 자산총계,재작성 반영,5859250000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980015000008/,5852846000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000030/,8
Sherwin-Williams,SHW,2015Q1,2015-03-31,분기말 부채총계,재작성 반영,5390078000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000008980015000008/,5383674000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000030/,8
Sherwin-Williams,SHW,2015Q2,2015-06-30,분기말 자산총계,재작성 반영,6134664000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980015000015/,6128575000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000036/,8
Sherwin-Williams,SHW,2015Q2,2015-06-30,분기말 부채총계,재작성 반영,5377322000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000008980015000015/,5371233000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000036/,8
Sherwin-Williams,SHW,2015Q3,2015-09-30,분기말 자산총계,재작성 반영,6102023000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980015000020/,6088978000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000039/,8
Sherwin-Williams,SHW,2015Q3,2015-09-30,분기말 부채총계,재작성 반영,5125858000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000008980015000020/,5112813000,https://www.sec.gov/Archives/edgar/data/89800/000008980016000039/,8
Sherwin-Williams,SHW,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,5791855000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/,5778937000,https://www.sec.gov/Archives/edgar/data/89800/000008980018000004/,8
Sherwin-Williams,SHW,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,4923945000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/,4911027000,https://www.sec.gov/Archives/edgar/data/89800/000008980018000004/,8
Sherwin-Williams,SHW,2016Q1,2016-03-31,분기별 당기순이익(지배),재작성 반영,147128000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980016000030/,164876000,https://www.sec.gov/Archives/edgar/data/89800/000008980017000009/,8
Sherwin-Williams,SHW,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,-79807000,공시,https://www.sec.gov/Archives/edgar/data/89800/000008980016000030/,-62059000,https://www.sec.gov/Archives/edgar/data/89800/000008980017000009/,8
