기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기별 매출액,1565482000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000089800: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기별 당기순이익(지배),32603000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기별 영업활동현금흐름,-115818000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 자산총계,4509146000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 부채총계,3014000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,부채및자본 4509146000 − 총자본 1495146000,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 총자본(자기자본),1495146000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,"StockholdersEquity, MinorityInterest 태그 없음",8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 지배지분 자본,1495146000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 종가,67.68,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-03-31),분할조정 종가 22.56 × 이후 분할계수 3,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 상장주식수,109735117,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Sherwin-Williams,SHW,2010Q1,2010-03-31,분기말 시가총액,7426872719,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,종가 67.68 × 주식수 109735117,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기별 매출액,2143064000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기별 영업이익,332607000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/89800/000095012311068880/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-07-27 제출본의 비교기간에서 읽었다,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기별 당기순이익(지배),181706000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기별 영업활동현금흐름,352274000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/ ; https://www.sec.gov/Archives/edgar/data/89800/000095012310039508/,누적 236456000 − 직전누적 -115818000 (시작 2010-01-01),8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 자산총계,4740286000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 부채총계,3209060000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,부채및자본 4740286000 − 총자본 1531226000,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 총자본(자기자본),1531226000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,"StockholdersEquity, MinorityInterest 태그 없음",8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 지배지분 자본,1531226000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 종가,69.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-06-30),분할조정 종가 23.0633 × 이후 분할계수 3,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 상장주식수,108790303,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Sherwin-Williams,SHW,2010Q2,2010-06-30,분기말 시가총액,7527201065,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,종가 69.19 × 주식수 108790303,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기별 매출액,2172259000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기별 영업이익,316703000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/89800/000095012311092333/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-10-27 제출본의 비교기간에서 읽었다,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기별 당기순이익(지배),175258000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기별 영업활동현금흐름,241154000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/ ; https://www.sec.gov/Archives/edgar/data/89800/000095012310068492/,누적 477610000 − 직전누적 236456000 (시작 2010-01-01),8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 자산총계,5180683000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 부채총계,3537547000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,부채및자본 5180683000 − 총자본 1643136000,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 총자본(자기자본),1643136000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,"StockholdersEquity, MinorityInterest 태그 없음",8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 지배지분 자본,1643136000,USD,공시,https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 종가,75.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-09-30),분할조정 종가 25.0467 × 이후 분할계수 3,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 상장주식수,107934798,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Sherwin-Williams,SHW,2010Q3,2010-09-30,분기말 시가총액,8110220722,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SHW?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,종가 75.14 × 주식수 107934798,8
Sherwin-Williams,SHW,2010Q4,2010-12-31,분기별 매출액,1895619000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/89800/000095012311017092/ ; https://www.sec.gov/Archives/edgar/data/89800/000095012310097227/,연간 7776424000 − 9개월누적 5880805000 (Revenues),8
