기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
J.M. Smucker,SJM,2013Q1,2013-04-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),9031800000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,26
J.M. Smucker,SJM,2013Q1,2013-04-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),3883000000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,26
J.M. Smucker,SJM,2013Q1,2013-04-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),5148800000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,,https://www.sec.gov/Archives/edgar/data/91419/000119312513266625/,26
J.M. Smucker,SJM,2014Q1,2014-04-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),9072100000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,26
J.M. Smucker,SJM,2014Q1,2014-04-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4042500000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,26
J.M. Smucker,SJM,2014Q1,2014-04-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),5029600000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,,https://www.sec.gov/Archives/edgar/data/91419/000119312514245437/,26
J.M. Smucker,SJM,2015Q1,2015-04-30,분기별 영업활동현금흐름,재작성 반영,221600000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/ ; https://www.sec.gov/Archives/edgar/data/91419/000119312515069831/,227500000,https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000119312515069831/,26
J.M. Smucker,SJM,2015Q1,2015-04-30,분기말 자산총계,재작성 반영,16882600000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/,16806300000,https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/,26
J.M. Smucker,SJM,2015Q1,2015-04-30,분기말 부채총계,재작성 반영,9795700000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312515235197/,9719400000,https://www.sec.gov/Archives/edgar/data/91419/000009141916000007/,26
J.M. Smucker,SJM,2015Q2,2015-07-31,분기별 영업활동현금흐름,재작성 반영,305100000,공시,https://www.sec.gov/Archives/edgar/data/91419/000119312515310563/,307000000,https://www.sec.gov/Archives/edgar/data/91419/000009141916000011/,26
J.M. Smucker,SJM,2015Q3,2015-10-31,분기별 영업활동현금흐름,재작성 반영,275400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/91419/000119312515395419/ ; https://www.sec.gov/Archives/edgar/data/91419/000119312515310563/,275500000,https://www.sec.gov/Archives/edgar/data/91419/000009141916000014/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141916000011/,26
J.M. Smucker,SJM,2016Q1,2016-04-30,분기별 영업활동현금흐름,재작성 반영,335500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/91419/000009141916000007/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141916000004/,336200000,https://www.sec.gov/Archives/edgar/data/91419/000009141918000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141917000002/,26
J.M. Smucker,SJM,2017Q1,2017-04-30,분기별 영업이익,재작성 반영,196700000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/91419/000009141917000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141917000002/,207800000,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141917000002/,26
J.M. Smucker,SJM,2017Q2,2017-07-31,분기별 영업이익,재작성 반영,233800000,공시,https://www.sec.gov/Archives/edgar/data/91419/000009141917000008/,235200000,https://www.sec.gov/Archives/edgar/data/91419/000009141918000008/,26
J.M. Smucker,SJM,2017Q3,2017-10-31,분기별 영업이익,재분류(미반영),330700000,공시,https://www.sec.gov/Archives/edgar/data/91419/000009141917000011/,332100000,https://www.sec.gov/Archives/edgar/data/91419/000009141918000011/,26
J.M. Smucker,SJM,2017Q4,2018-01-31,분기별 영업이익,재분류(미반영),162700000,공시,https://www.sec.gov/Archives/edgar/data/91419/000009141918000003/,164000000,https://www.sec.gov/Archives/edgar/data/91419/000009141919000002/,26
J.M. Smucker,SJM,2018Q1,2018-04-30,분기별 영업이익,재작성 반영,308900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/91419/000009141918000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141918000003/,316800000,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/ ; https://www.sec.gov/Archives/edgar/data/91419/000009141918000003/,26
