기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Super Micro Computer,SMCI,2014Q2,2014-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),796325000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,15
Super Micro Computer,SMCI,2014Q2,2014-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),327094000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,15
Super Micro Computer,SMCI,2014Q2,2014-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),469231000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,15
Super Micro Computer,SMCI,2014Q2,2014-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),469056000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기별 영업이익,재작성 반영,40787000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,26687000,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기별 당기순이익(지배),재작성 반영,26702000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,17394000,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기별 영업활동현금흐름,재작성 반영,-53700000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,-55189000,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/ ; https://www.sec.gov/Archives/edgar/data/1375365/000162828015003900/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1089809000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),470724000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,15
Super Micro Computer,SMCI,2015Q2,2015-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),619085000,공시,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,,https://www.sec.gov/Archives/edgar/data/1375365/000162828015008827/,15
