기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Synopsys,SNPS,2011Q3,2011-10-31,분기말 자산총계,재작성 반영,3367334000,공시,https://www.sec.gov/Archives/edgar/data/883241/000119312511343034/,3368844000,https://www.sec.gov/Archives/edgar/data/883241/000119312512510596/,8
Synopsys,SNPS,2011Q3,2011-10-31,분기말 부채총계,재작성 반영,1266034000,공시,https://www.sec.gov/Archives/edgar/data/883241/000119312511343034/,1267544000,https://www.sec.gov/Archives/edgar/data/883241/000119312512510596/,8
Synopsys,SNPS,2017Q4,2018-01-31,분기별 영업활동현금흐름,재작성 반영,-59365000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324118000002/,-59054000,https://www.sec.gov/Archives/edgar/data/883241/000088324119000008/,8
Synopsys,SNPS,2018Q1,2018-04-30,분기별 영업활동현금흐름,재작성 반영,63430000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/883241/000088324118000005/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324118000002/,63369000,https://www.sec.gov/Archives/edgar/data/883241/000088324119000011/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324119000008/,8
Synopsys,SNPS,2018Q2,2018-07-31,분기별 영업활동현금흐름,재작성 반영,289206000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/883241/000088324118000008/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324118000005/,288956000,https://www.sec.gov/Archives/edgar/data/883241/000088324118000008/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324119000011/,8
Synopsys,SNPS,2022Q3,2022-10-31,분기별 영업이익,재분류(미반영),217373000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324122000017/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324122000014/,204049000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000024/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324122000014/,8
Synopsys,SNPS,2023Q1,2023-04-30,분기별 매출액,재분류(미반영),1394863000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000012/,1262744000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000016/,8
Synopsys,SNPS,2023Q1,2023-04-30,분기별 영업이익,재분류(미반영),287332000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000012/,292375000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000016/,8
Synopsys,SNPS,2023Q2,2023-07-31,분기별 매출액,재분류(미반영),1487288000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,1354390000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/,8
Synopsys,SNPS,2023Q2,2023-07-31,분기별 영업이익,재분류(미반영),295474000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,300076000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/,8
Synopsys,SNPS,2023Q3,2023-10-31,분기별 매출액,재분류(미반영),1599128000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,1467383000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/,8
Synopsys,SNPS,2023Q3,2023-10-31,분기별 영업이익,재분류(미반영),430521000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,424165000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/,8
Synopsys,SNPS,2023Q4,2024-01-31,분기별 매출액,재분류(미반영),1649230000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324124000013/,1510989000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000014/,8
Synopsys,SNPS,2023Q4,2024-01-31,분기별 영업이익,재분류(미반영),359620000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324124000013/,352626000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000014/,8
